0.593,0.787,00_00_00
0.633,0.755,00_00_02
0.61,0.789,00_00_03
0.546,0.835,00_00_08
0.66,0.812,00_00_10
0.612,0.771,00_00_11
0.667,0.764,00_00_13
0.619,0.778,00_00_16
0.602,0.82,00_00_18
0.641,0.861,00_00_19
0.656,0.807,00_00_21
0.606,0.77,00_00_22
0.658,0.758,00_00_24
0.618,0.787,00_00_26
0.621,0.679,00_00_27
0.651,0.844,00_00_29
0.631,0.754,00_00_30
0.689,0.927,00_00_32
0.644,0.77,00_00_34
0.708,0.815,00_00_35
0.673,0.788,00_00_37
0.696,0.819,00_00_39
0.675,0.787,00_00_40
0.595,0.836,00_00_42
0.661,0.82,00_00_43
0.612,0.827,00_00_45
0.655,0.868,00_00_47
0.624,0.881,00_00_48
0.669,0.765,00_00_50
0.649,0.977,00_00_52
0.652,0.868,00_00_53
0.679,0.708,00_00_55
0.736,0.837,00_00_56
0.661,0.798,00_00_58
0.639,0.847,00_00_59
0.64,0.782,00_01_01
0.683,0.727,00_01_03
0.635,0.875,00_01_04
0.645,0.789,00_01_06
0.469,0.806,00_01_07
0.432,0.806,00_01_09
0.58,0.83,00_01_11
0.791,0.799,00_01_12
0.632,0.772,00_01_14
0.662,0.772,00_01_15
0.545,0.798,00_01_17
0.559,0.757,00_01_19
0.628,0.747,00_01_20
0.639,0.781,00_01_22
0.638,0.749,00_01_23
0.583,0.726,00_01_25
0.566,0.703,00_01_27
0.612,0.775,00_01_28
0.572,0.764,00_01_30
0.58,0.752,00_01_32
0.696,0.804,00_01_33
0.564,0.813,00_01_35
0.652,0.772,00_01_36
0.671,0.787,00_01_38
0.627,0.839,00_01_39
0.681,0.844,00_01_41
0.696,0.769,00_01_43
0.659,0.927,00_01_44
0.701,0.819,00_01_46
0.67,0.806,00_01_47
0.708,0.775,00_01_49
0.719,0.757,00_01_50
0.672,0.739,00_01_52
0.616,0.852,00_01_54
0.614,0.837,00_01_55
0.646,0.815,00_01_57
0.689,0.822,00_01_59
0.608,0.717,00_02_00
0.658,0.74,00_02_02
0.645,0.798,00_02_04
0.622,0.779,00_02_05
0.642,0.816,00_02_07
0.592,0.752,00_02_09
0.606,0.777,00_02_10
0.621,0.761,00_02_12
0.615,0.784,00_02_13
0.56,0.847,00_02_15
0.668,0.721,00_02_17
0.635,0.762,00_02_18
0.645,0.683,00_02_20
0.674,0.759,00_02_21
0.629,0.743,00_02_23
0.598,0.847,00_02_24
0.653,0.704,00_02_26
0.688,0.776,00_02_28
0.554,0.746,00_02_29
0.576,0.717,00_02_31
0.686,0.774,00_02_33
0.675,0.805,00_02_34
0.639,0.817,00_02_36
0.621,0.803,00_02_37
0.633,0.872,00_02_39
0.634,0.794,00_02_40
0.669,0.809,00_02_42
0.646,0.782,00_02_44
0.671,0.757,00_02_45
0.671,0.825,00_02_47
0.646,0.769,00_02_48
0.63,0.893,00_02_50
0.665,0.749,00_02_52
0.673,0.757,00_02_53
0.707,0.797,00_02_55
0.607,0.718,00_02_56
0.644,0.751,00_02_58
0.555,0.744,00_03_00
0.66,0.742,00_03_01
0.634,0.788,00_03_03
0.653,0.703,00_03_04
0.551,0.825,00_03_06
0.668,0.699,00_03_08
0.695,0.763,00_03_09
0.642,0.742,00_03_11
0.594,0.749,00_03_13
0.579,0.768,00_03_23
0.642,0.766,00_03_25
0.554,0.761,00_03_27
0.639,0.749,00_03_29
0.625,0.754,00_03_31
0.644,0.762,00_03_32
0.642,0.783,00_03_34
0.639,0.727,00_03_35
0.632,0.776,00_03_37
0.618,0.875,00_03_39
0.64,0.875,00_03_40
0.651,0.758,00_03_42
0.623,0.765,00_03_43
0.645,0.768,00_03_45
0.618,0.849,00_03_46
0.588,0.733,00_03_48
0.63,0.756,00_03_50
0.622,0.745,00_03_51
0.571,0.652,00_03_53
0.666,0.755,00_03_55
0.614,0.789,00_03_57
0.588,0.815,00_03_58
0.62,0.767,00_04_00
0.627,0.764,00_04_02
0.624,0.837,00_04_03
0.579,0.797,00_04_05
0.639,0.734,00_04_06
0.593,0.802,00_04_08
0.651,0.798,00_04_10
0.708,0.843,00_04_11
0.675,0.773,00_04_13
0.693,0.799,00_04_14
0.626,0.746,00_04_16
0.637,0.729,00_04_18
0.64,0.737,00_04_19
0.644,0.904,00_04_21
0.591,0.923,00_04_22
0.571,0.851,00_04_24
0.6,0.739,00_04_26
0.642,0.772,00_04_27
0.649,0.733,00_04_29
0.601,0.908,00_04_30
0.585,0.74,00_04_32
0.566,0.791,00_04_34
0.622,0.702,00_04_35
0.612,0.764,00_04_37
0.606,0.753,00_04_39
0.664,0.77,00_04_40
0.605,0.811,00_04_52
0.694,0.79,00_04_53
0.572,0.793,00_04_55
0.592,0.779,00_04_57
0.588,0.838,00_04_59
0.63,0.746,00_05_01
0.629,0.834,00_05_03
0.56,0.794,00_05_04
0.666,0.77,00_05_06
0.651,0.709,00_05_07
0.645,0.784,00_06_46
0.701,0.743,00_06_47
0.66,0.877,00_06_49
0.665,0.787,00_06_50
0.657,0.755,00_06_52
0.655,0.779,00_06_54
0.58,0.739,00_06_56
0.751,0.791,00_06_57
0.625,0.758,00_06_59
0.663,0.812,00_07_00
0.622,0.817,00_07_02
0.624,0.867,00_07_04
0.709,0.829,00_07_05
0.618,0.803,00_07_07
0.624,0.821,00_07_09
0.576,0.819,00_07_11
0.639,0.81,00_07_13
0.641,0.793,00_07_14
0.685,0.827,00_07_16
0.652,0.86,00_07_18
0.663,0.77,00_07_19
0.596,0.78,00_07_21
0.578,0.788,00_07_22
0.619,0.879,00_07_24
0.651,0.811,00_07_25
0.652,0.732,00_07_27
0.623,0.875,00_07_29
0.679,0.857,00_07_30
0.62,0.834,00_07_32
0.658,0.739,00_07_34
0.599,0.813,00_07_35
0.649,0.742,00_07_37
0.554,0.796,00_07_38
0.569,0.73,00_07_40
0.605,0.65,00_07_41
0.641,0.807,00_07_43
0.562,0.779,00_07_45
0.618,0.811,00_07_46
0.699,0.773,00_07_48
0.692,0.769,00_07_49
0.616,0.757,00_07_51
0.62,0.759,00_07_53
0.621,0.972,00_07_54
0.646,0.775,00_07_56
0.654,0.902,00_07_58
0.655,0.878,00_07_59
0.621,0.73,00_08_01
0.586,0.766,00_08_02
0.644,0.751,00_08_04
0.599,0.796,00_08_05
0.607,0.793,00_08_07
0.615,0.831,00_08_09
0.597,0.726,00_08_10
0.566,0.856,00_08_12
0.595,0.776,00_08_13
0.601,0.768,00_08_15
0.633,0.741,00_08_17
0.664,0.791,00_08_18
0.599,0.767,00_08_20
0.622,0.824,00_08_21
0.747,0.681,00_08_23
0.582,0.895,00_08_25
0.648,0.711,00_08_26
0.653,0.773,00_08_40
0.616,0.779,00_08_42
0.737,0.789,00_08_44
0.663,0.821,00_08_45
0.621,0.821,00_08_47
0.647,0.876,00_08_48
0.629,0.936,00_08_50
0.665,0.9,00_08_51
0.682,0.878,00_08_53
0.657,0.946,00_08_55
0.668,0.9,00_08_56
0.697,0.824,00_08_58
0.651,0.914,00_08_59
0.741,0.827,00_09_01
0.699,0.795,00_09_02
0.662,0.872,00_09_04
0.699,0.898,00_09_06
0.674,0.798,00_09_08
0.675,0.819,00_09_09
0.617,0.876,00_09_11
0.673,0.825,00_09_12
0.65,0.883,00_09_14
0.704,0.836,00_09_15
0.599,0.964,00_09_17
0.668,0.899,00_09_18
0.623,0.834,00_09_20
0.668,0.805,00_09_22
0.783,0.808,00_09_23
0.688,0.798,00_09_25
0.672,0.898,00_09_26
0.644,0.841,00_09_28
0.643,0.78,00_09_30
0.632,0.711,00_09_31
0.602,0.691,00_09_33
0.637,0.788,00_09_34
0.732,0.847,00_09_36
0.668,0.803,00_09_38
0.72,0.871,00_09_39
0.612,0.821,00_09_41
0.663,0.723,00_09_43
0.642,0.776,00_09_44
0.573,0.855,00_09_46
0.568,0.754,00_09_47
0.745,0.668,00_09_49
0.662,0.79,00_09_51
0.671,0.811,00_09_52
0.551,0.758,00_09_54
0.615,0.783,00_09_55
0.733,0.703,00_09_57
0.658,0.763,00_09_59
0.671,0.778,00_10_00
0.688,0.867,00_10_07
0.664,0.867,00_10_09
0.673,0.775,00_10_10
0.633,0.863,00_10_12
0.726,0.883,00_10_14
0.688,0.882,00_10_15
0.68,0.911,00_10_17
0.688,0.84,00_10_19
0.652,0.912,00_10_20
0.613,0.85,00_10_22
0.751,0.879,00_10_27
0.642,0.869,00_10_29
0.617,0.796,00_10_30
0.685,0.784,00_10_32
0.653,0.762,00_10_34
0.748,0.848,00_10_35
0.703,0.837,00_10_37
0.792,0.849,00_10_39
0.689,0.798,00_10_40
0.619,0.855,00_10_42
0.696,0.859,00_10_43
0.676,0.881,00_10_45
0.706,0.817,00_10_46
0.643,0.826,00_10_48
0.661,0.934,00_10_50
0.648,0.83,00_10_51
