0.573,0.833,00_00_00
0.659,0.698,00_00_01
0.642,0.806,00_00_03
0.591,0.61,00_00_04
0.607,0.759,00_00_06
0.531,0.668,00_00_08
0.73,0.716,00_00_10
0.554,0.698,00_00_12
0.596,0.803,00_00_13
0.531,0.699,00_00_15
0.686,0.767,00_00_17
0.635,0.737,00_00_19
0.724,0.783,00_00_20
0.641,0.727,00_00_21
0.756,0.657,00_00_23
0.57,0.72,00_00_25
0.703,0.702,00_00_27
0.677,0.691,00_00_29
0.611,0.743,00_00_30
0.631,0.74,00_00_41
0.736,0.701,00_00_43
0.598,0.765,00_00_45
0.723,0.739,00_00_46
0.648,0.789,00_00_48
0.625,0.645,00_00_50
0.604,0.832,00_00_52
0.601,0.734,00_00_53
0.66,0.77,00_00_55
0.656,0.76,00_00_57
0.608,0.766,00_00_59
0.692,0.64,00_01_00
0.736,0.813,00_01_02
0.563,0.836,00_01_03
0.585,0.765,00_01_05
0.585,0.808,00_01_07
0.698,0.708,00_01_09
0.64,0.718,00_01_10
0.552,0.772,00_01_12
0.599,0.765,00_01_14
0.621,0.644,00_01_15
0.579,0.751,00_01_17
0.649,0.76,00_01_19
0.578,0.756,00_01_21
0.554,0.796,00_01_22
0.636,0.745,00_01_24
0.619,0.648,00_01_26
0.55,0.855,00_01_28
0.618,0.692,00_01_29
0.565,0.823,00_01_31
0.671,0.632,00_01_33
0.703,0.771,00_01_35
0.74,0.606,00_01_36
0.679,0.74,00_01_38
0.572,0.773,00_01_40
0.675,0.665,00_01_41
0.631,0.729,00_01_43
0.735,0.735,00_01_45
0.723,0.752,00_01_46
0.629,0.858,00_01_48
0.667,0.754,00_01_50
0.648,0.736,00_01_51
0.639,0.767,00_01_53
0.559,0.835,00_01_55
0.579,0.729,00_01_56
0.636,0.819,00_01_58
0.64,0.674,00_01_59
0.579,0.758,00_02_01
0.635,0.664,00_02_03
0.622,0.748,00_02_05
0.563,0.857,00_02_06
0.588,0.827,00_02_08
0.557,0.825,00_02_15
0.613,0.74,00_02_17
0.594,0.727,00_02_18
0.621,0.674,00_02_20
0.611,0.761,00_02_22
0.652,0.767,00_02_24
0.673,0.679,00_02_25
0.767,0.76,00_02_27
0.651,0.726,00_02_29
0.649,0.68,00_02_31
0.583,0.647,00_02_32
0.64,0.734,00_02_34
0.616,0.666,00_02_35
0.624,0.721,00_02_37
0.561,0.673,00_02_39
0.641,0.665,00_02_41
0.571,0.673,00_02_42
0.68,0.749,00_02_44
0.575,0.784,00_02_46
0.614,0.693,00_02_48
0.49,0.817,00_02_49
0.585,0.706,00_02_51
0.511,0.77,00_02_53
0.692,0.809,00_02_55
0.691,0.74,00_02_56
0.484,0.769,00_02_58
0.61,0.737,00_03_00
0.472,0.803,00_03_01
0.697,0.64,00_03_03
0.588,0.756,00_03_05
0.695,0.712,00_03_06
0.66,0.753,00_03_08
0.572,0.692,00_03_10
0.574,0.752,00_03_12
0.568,0.684,00_03_13
0.69,0.666,00_03_15
