khoảng cách trên,khoảng cách dưới
0.658,0.919,06_58_37
0,0.4,06_58_38
0.84,1.115,06_58_39
0,0,06_58_41
0.537,0,06_58_42
0.616,0.666,06_58_43
0.728,0.712,06_58_45
0.55,0.658,06_58_47
0.546,0.709,06_58_50
0.572,0.884,06_58_53
0.657,0.817,07_01_18
0.692,0.893,07_01_20
0,0,07_01_23
0,0.902,07_01_26
0,0.783,07_01_29
0.575,0.708,07_01_32
0,0,07_01_35
0.74,0.869,07_01_36
0.595,0.784,07_01_38
0.377,0.515,07_01_39
0,0,07_01_41
0.754,0.814,07_03_29
0.298,0,07_03_30
0.896,1.052,07_03_31
0,0,07_03_32
0,0.688,07_03_34
0.538,0.763,07_03_36
0.573,0.906,07_03_37
0.532,0.691,07_03_39
0.559,0.687,07_03_42
0.699,0.729,07_03_44
0.645,0.828,07_03_48
0.719,0.846,07_03_50
0,0,07_03_53
0.7,0,07_03_56
0.631,0,07_03_59
0.546,0.737,07_04_02
0,0,07_04_05
0.72,0.894,07_04_06
0.632,0.731,07_04_09
0.416,0.481,07_04_10
0.66,0.754,07_04_11
0.611,0.817,07_15_51
0.65,0.878,07_15_52
0.659,0.884,07_15_54
0.617,0.856,07_15_55
0.615,0.864,07_15_57
0.629,0.763,07_15_58
0.765,1.014,07_16_00
0.625,0,07_16_01
0.608,0.693,07_16_06
0.601,0.63,07_23_00
0,0.77,07_23_01
0,0,07_23_03
0.624,0.786,07_23_04
0.65,0.81,07_23_05
0.688,0.832,07_23_07
0.67,0.811,07_23_09
0.673,0.752,07_23_10
0.644,0.825,07_23_12
0.676,0.826,07_23_13
0.642,0.729,07_23_15
0.713,0.787,07_23_17
0.625,0.846,07_28_01
0.644,0.795,07_28_03
0.672,0.884,07_28_05
0.649,0.769,07_28_06
0.635,0.754,07_28_08
0.682,0.762,07_28_09
0.601,0.787,07_28_11
0.657,0.897,07_28_13
0.702,0.766,07_28_30
0.664,0.847,07_28_31
0.694,0.812,07_28_33
0.755,0.839,07_28_35
0.723,0.869,07_28_36
0.736,0.818,07_28_38
0.751,0.84,07_28_40
0.685,0.809,07_28_41
0.692,0.856,07_28_57
0.609,0.745,07_28_59
0.624,0.786,07_29_00
0.664,0.804,07_29_02
0.61,0.811,07_29_03
0.599,0.839,07_29_05
0.597,0.863,07_29_07
0.692,0.738,07_29_08
0.693,0.827,07_29_10
0.675,0.763,07_29_46
0.666,0.755,07_29_48
0.703,0.799,07_29_50
0.654,0.823,07_29_51
0.636,0.754,07_29_53
0.655,0.803,07_29_55
0.633,0.813,07_29_56
0.673,0.954,07_29_58
0.619,0.852,07_34_16
0.783,0.862,07_34_17
0.751,0.81,07_34_19
0.725,0.85,07_34_21
0.726,0.843,07_34_23
0.635,0.946,07_34_25
0.649,0.856,07_34_27
0.686,0.812,07_34_46
0.678,0.806,07_35_59
0.629,0.85,07_37_56
0.691,0.773,07_37_58
0.647,0.808,07_38_15
0.673,0.888,07_38_16
0.651,0.795,07_38_19
0.672,0.975,07_38_20
0.671,0.922,07_38_22
0.718,0.916,07_38_24
0.793,0.957,07_38_26
