khoảng cách trên,khoảng cách dưới
0.605,0.763,07_35_07
0,0.403,07_35_09
0.841,1.109,07_35_12
0,0,07_35_13
0.544,0,07_35_14
0.53,0.764,07_35_16
0.719,0.727,07_35_17
0.538,0.667,07_35_19
0.549,0.707,07_35_22
0.575,0.878,07_35_25
0.654,0.823,07_35_28
0.692,0.892,07_35_30
0,0,07_35_34
0,0.927,07_35_36
0,0.783,07_35_39
0.573,0.71,07_35_42
0,0,07_35_45
0.735,0.873,07_35_47
0.597,0.776,07_35_48
0.367,0.528,07_35_50
0,0,07_35_51
0,0.671,07_37_01
0.677,0,07_37_02
0,0.766,07_37_03
0.676,0.581,07_37_05
0.683,0.502,07_37_06
0.65,0.718,07_37_08
0.676,0.619,07_37_10
0,0.71,07_37_11
0.602,0.716,07_37_13
0.643,0.754,07_37_15
0.67,0.667,07_37_16
0.682,0.719,07_37_18
0.584,0.693,07_37_20
0.708,0.698,07_37_21
0,0.82,07_37_23
0.657,0.886,07_37_24
0,0.871,07_37_26
0.63,0.694,07_37_28
0.628,0,07_37_29
0,0.736,07_37_31
0.69,0.814,07_37_32
0.647,0.897,07_37_33
0.679,0.851,07_37_35
0.667,0.742,07_37_37
0.657,0.751,07_37_38
0.681,0.85,07_37_40
0.695,0.821,07_37_42
0.663,0.857,07_37_44
0.697,0.828,07_37_45
0.67,0.832,07_37_47
0.636,0.794,07_37_49
0.696,0.768,07_37_50
0.707,0.814,07_37_52
0.653,0.756,07_37_53
0.667,0.829,07_38_41
0.702,0.845,07_38_43
0.66,0.749,07_38_44
0.683,0.842,07_38_46
0.647,0.841,07_39_04
0.664,0.753,07_39_05
0.669,0.824,07_39_07
0.708,0.779,07_39_09
0.7,0.809,07_39_41
0.647,0.697,07_39_43
0.7,0.832,07_39_44
0.637,0.824,07_39_46
0.625,0.816,07_40_49
0.673,0.732,07_41_49
0.725,0.813,07_41_51
0.704,0.78,07_41_53
0.652,0.822,07_41_54
0.7,0.808,07_41_56
0.683,0.812,07_41_57
0.69,0.809,07_41_59
0.633,0.817,07_42_00
0.635,0.777,07_42_06
0.665,0.811,07_42_08
0.629,0.826,07_42_09
0.681,0.805,07_42_11
0.617,0.822,07_42_13
0.69,0.732,07_42_14
0.633,0.78,07_42_15
0.667,0.791,07_43_35
0.681,0.743,07_43_39
0.633,0.793,07_43_40
0.575,0.829,07_43_42
0.656,0.762,07_43_43
0.684,0.837,07_43_45
0.68,0.811,07_43_46
0.674,0.835,07_43_48
0.656,0.822,07_43_50
0.724,0.749,07_43_52
0.637,0.833,07_43_53
0.697,0.767,07_43_55
0.665,0.818,07_43_56
0.651,0.781,07_43_58
0.619,0.825,07_43_59
0.655,0.823,07_44_01
0.661,0.751,07_44_03
0.623,0.764,07_44_04
0.649,0.756,07_44_06
0.633,0.784,07_44_08
0.607,0.722,07_44_09
0,0.719,07_44_11
0.709,0,07_44_12
0.692,0.737,07_44_14
0,0.649,07_44_15
0.51,0,07_44_17
0.636,0,07_44_19
0.499,0,07_44_20
0.655,0.753,07_44_22
0.642,0.728,07_44_23
0.686,0.788,07_44_25
0.678,0.718,07_44_27
0.599,0.769,07_44_28
0.707,0.847,07_44_30
0.657,0.801,07_44_31
0.686,0.793,07_44_33
0.669,0.853,07_44_35
0.701,0.773,07_44_36
0.653,0.796,07_44_38
0.71,0.84,07_45_17
0.63,0.794,07_45_18
0.719,0.794,07_45_20
0.656,0.757,07_45_35
0.635,0.757,07_45_37
0.643,0.888,07_45_38
0.665,0.804,07_45_40
0.654,0.856,07_45_42
0.703,0.842,07_45_43
0.634,0.788,07_45_45
0.713,0.803,07_45_47
0.614,0.847,07_45_48
0.722,0.854,07_45_50
0.673,0.773,07_46_59
0.722,0.85,07_47_01
0.7,0.823,07_47_02
0.664,0.807,07_47_04
0.663,0.844,07_47_06
0.679,0.813,07_47_07
0.688,0.823,07_47_09
0.643,0.782,07_47_11
0.678,0.791,07_47_12
0.715,0.849,07_47_14
0.645,0.813,07_47_49
0.644,0.811,07_47_51
0.638,0.761,07_47_53
0.619,0.85,07_48_09
0.673,0.765,07_48_10
0.674,0.801,07_48_12
0.713,0.707,07_48_14
0.634,0.816,07_48_15
0.669,0.8,07_48_17
0.649,0.747,07_48_19
0.647,0.747,07_48_20
0.69,0.798,07_48_22
0.69,0.759,07_48_23
0.646,0.774,07_48_25
0.691,0.825,07_48_27
0.631,0.777,07_48_28
0.677,0.82,07_48_30
0.693,0.829,07_48_31
0.701,0.835,07_48_33
0.647,0.794,07_48_35
0.613,0.842,07_48_36
0.7,0.852,07_48_38
0.617,0.74,07_48_40
0.683,0.772,07_48_41
0.638,0.73,07_48_43
0.592,0.869,07_48_44
0.611,0.787,07_48_46
0.68,0.742,07_48_47
0.599,0.823,07_49_24
0.605,0.802,07_49_26
0.715,0.75,07_49_28
0.684,0.797,07_49_30
0.593,0.826,07_49_31
0.706,0.795,07_49_33
0.685,0.845,07_49_35
0.637,0.8,07_49_36
0.683,0.739,07_49_38
0.679,0.789,07_49_39
0.664,0.819,07_49_43
0.63,0.805,07_49_44
0.656,0.859,07_49_46
0.639,0.83,07_49_48
0.611,0.805,07_49_49
0.697,0.797,07_49_51
0.682,0.824,07_49_53
0.658,0.785,07_49_54
0.703,0.779,07_49_56
0.635,0.796,07_49_57
0.669,0.82,07_49_59
0.609,0.816,07_50_01
0.64,0.815,07_50_02
0.675,0.826,07_50_04
0.649,0.859,07_50_05
0.613,0.811,07_50_26
0.676,0.763,07_50_27
0.653,0.796,07_50_29
0.643,0.855,07_50_31
0.676,0.812,07_50_33
0.677,0.819,07_50_34
0.673,0.888,07_50_36
0.658,0.919,07_50_38
0.621,0.852,07_50_39
0.706,0.836,07_50_40
0.676,0.769,07_50_42
0.647,0.781,07_50_44
0.673,0.933,07_50_45
0.695,0.859,07_50_47
0.644,0.838,07_50_49
0.698,0.804,07_50_50
0.69,0.739,07_50_52
0.611,0.813,07_50_53
0.654,0.879,07_50_55
0.688,0.797,07_50_57
0.715,0.802,07_50_58
0.68,0.844,07_51_00
0.659,0.879,07_51_01
0.637,0.846,07_51_03
0.666,0.821,07_51_04
0.682,0.871,07_51_06
0.686,0.881,07_51_08
0.725,0.833,07_51_09
0.65,0.857,07_51_11
0.599,0.803,07_51_54
0.679,0.842,07_51_55
0.674,0.797,07_51_57
0.721,0.877,07_51_58
0.674,0.739,07_52_00
0.631,0.829,07_52_01
0.656,0.822,07_52_03
0.683,0.815,07_52_05
0.682,0.775,07_53_02
0.672,0.826,07_53_03
0.651,0.815,07_53_05
0.617,0.859,07_53_06
0.656,0.727,07_53_08
0.662,0.77,07_53_10
0.648,0.763,07_53_11
0.667,0.804,07_53_13
0.662,0.73,07_53_15
0.69,0.8,07_53_36
0.68,0.858,07_53_37
0.676,0.832,07_53_39
0.677,0.802,07_53_40
0.647,0.806,07_53_42
0.702,0.78,07_53_44
0.705,0.737,07_53_45
0.696,0.862,07_53_47
0.691,0.81,07_53_49
0.635,0.78,07_53_50
0.658,0.775,07_53_52
0.683,0.772,07_53_53
0.717,0.705,07_53_55
0.685,0.749,07_53_57
0.63,0.869,07_53_58
0.701,0.854,07_54_00
0.71,0.812,07_54_01
0.677,0.83,07_54_03
0.659,0.772,07_54_05
0.677,0.792,07_54_06
0.724,0.812,07_54_08
0.672,0.82,07_54_09
0.669,0.832,07_54_11
0.706,0.771,07_54_13
