0.677,0.827,00_00_01
0.617,0.866,00_00_03
0.725,0.797,00_00_04
0.635,0.867,00_00_06
0.726,0.809,00_00_08
0.706,0.8,00_00_09
0.627,0.897,00_00_11
0.626,0.841,00_00_13
0.681,0.837,00_00_14
0.658,0.847,00_00_16
0.677,0.849,00_00_18
0.692,0.769,00_00_19
0.711,0.793,00_00_21
0.628,0.867,00_00_22
0.663,0.827,00_00_24
0.644,0.843,00_00_26
0.7,0.808,00_00_27
0.632,0.807,00_00_41
0.668,0.811,00_00_42
0.687,0.83,00_00_44
0.667,0.882,00_00_46
0.599,0.844,00_00_47
0.685,0.911,00_00_49
0.655,0.851,00_00_51
0.691,0.825,00_00_52
0.75,0.743,00_00_54
0.668,0.8,00_00_56
0.674,0.824,00_00_57
0.678,0.774,00_00_59
0.686,0.839,00_01_01
0.686,0.838,00_01_02
0.702,0.784,00_01_04
0.641,0.835,00_01_05
0.707,0.795,00_01_07
0.66,0.833,00_01_09
0.664,0.836,00_01_11
0.706,0.746,00_01_12
0.724,0.821,00_01_14
0.706,0.791,00_01_15
0.727,0.764,00_01_17
0.719,0.81,00_01_19
0.699,0.764,00_01_34
0.641,0.786,00_01_36
0.703,0.79,00_01_38
0.703,0.81,00_01_39
0.633,0.883,00_01_41
0.657,0.844,00_01_43
0.668,0.901,00_01_44
0.681,0.902,00_01_46
0.742,0.821,00_01_47
0.697,0.851,00_01_49
0.69,0.816,00_01_50
0.713,0.771,00_01_52
0.692,0.867,00_01_54
0.682,0.811,00_01_57
0.65,0.826,00_01_59
0.77,0.711,00_02_00
0.732,0.728,00_02_02
0.715,0.815,00_02_04
0.684,0.856,00_02_06
0.709,0.87,00_02_07
0.642,0.909,00_02_09
0.67,0.868,00_02_10
0.648,0.91,00_02_12
0.662,0.799,00_02_14
0.678,0.849,00_02_15
0.665,0.77,00_02_17
0.665,0.849,00_02_18
0.702,0.827,00_02_20
0.741,0.762,00_02_22
0.719,0.802,00_02_23
0.71,0.773,00_02_25
0.636,0.875,00_02_27
0.701,0.749,00_02_29
0.659,0.843,00_02_30
0.678,0.759,00_02_32
0.65,0.92,00_02_33
0.701,0.799,00_02_35
0.634,0.82,00_02_37
0.649,0.824,00_02_38
0.729,0.782,00_02_40
0.675,0.811,00_02_42
0.632,0.83,00_02_43
0.644,0.743,00_02_45
0.676,0.757,00_02_47
0.673,0.734,00_02_48
0.667,0.751,00_02_50
0.749,0.816,00_02_52
0.654,0.788,00_02_53
0.712,0.81,00_02_55
0.638,0.971,00_02_56
0.644,0.891,00_02_58
0.652,0.843,00_03_00
0.656,0.874,00_03_01
0.691,0.797,00_03_03
0.68,0.847,00_03_05
0.72,0.767,00_03_06
0.646,0.759,00_03_11
0.676,0.806,00_03_12
0.72,0.789,00_03_14
0.642,0.859,00_03_15
0.643,0.915,00_03_17
0.624,0.833,00_03_18
0.652,0.85,00_03_29
0.637,0.778,00_03_39
0.694,0.794,00_03_41
0.635,0.773,00_03_42
0.672,0.831,00_03_44
0.641,0.827,00_03_46
0.594,0.893,00_03_47
0.646,0.79,00_03_49
0.574,0.881,00_03_51
0.611,0.804,00_03_52
0.672,0.78,00_03_54
0.626,0.796,00_03_56
0.638,0.782,00_03_57
0.635,0.852,00_03_59
0.708,0.83,00_04_00
0.691,0.821,00_04_02
0.674,0.826,00_04_04
0.732,0.787,00_04_06
0.666,0.818,00_04_07
0.675,0.849,00_04_09
0.633,0.918,00_04_11
0.643,0.856,00_04_12
0.678,0.819,00_04_14
0.669,0.846,00_04_16
0.632,0.813,00_04_17
0.603,0.777,00_04_19
0.684,0.74,00_04_20
0.634,0.795,00_04_22
0.584,0.795,00_04_24
0.673,0.829,00_04_25
0.763,0.742,00_04_27
0.635,0.85,00_04_29
0.676,0.806,00_04_30
0.658,0.813,00_04_32
0.63,0.807,00_04_33
0.604,0.839,00_04_35
0.599,0.788,00_04_39
0.66,0.816,00_04_40
0.66,0.776,00_04_42
0.644,0.825,00_04_43
0.682,0.781,00_04_46
0.648,0.798,00_04_48
0.658,0.787,00_04_49
0.589,0.831,00_04_50
0.66,0.857,00_04_53
0,0.763,00_04_55
0.608,0.827,00_04_57
0.667,0.825,00_04_59
0.657,0.771,00_05_00
0.642,0.888,00_05_02
0.632,0.853,00_05_03
0.622,0.852,00_05_05
0.619,0.86,00_05_07
0.643,0.89,00_05_09
0.659,0.813,00_05_10
0.642,0.781,00_05_12
0.674,0.762,00_05_14
0.728,0.717,00_05_15
0.675,0.799,00_05_17
0.64,0.732,00_05_18
0.674,0.804,00_05_21
0.675,0.837,00_05_22
0.675,0.822,00_05_24
0.635,0.791,00_05_26
0.637,0.864,00_05_28
0.666,0.806,00_05_30
0.669,0.774,00_05_32
0.712,0.778,00_05_33
0.629,0.811,00_05_35
0.698,0.764,00_05_36
0.614,0.844,00_05_38
0.622,0.808,00_05_39
0.62,0.873,00_05_42
0.662,0.834,00_05_44
0.653,0.819,00_05_45
0.693,0.755,00_05_47
0.673,0.829,00_05_49
0.653,0.814,00_05_51
0.645,0.876,00_05_52
0.698,0.815,00_05_54
0.676,0.793,00_05_56
0.731,0.732,00_05_57
0.652,0.78,00_05_59
0.642,0.812,00_06_00
0.719,0.755,00_06_02
0.694,0.732,00_06_04
0.598,0.876,00_06_06
0.604,0.749,00_06_07
0.632,0.793,00_06_09
0.626,0.882,00_06_11
0.625,0.874,00_06_13
0.63,0.814,00_06_14
0.654,0.793,00_06_16
0.684,0.727,00_06_18
0.631,0.812,00_06_20
0.678,0.704,00_06_21
0.636,0.847,00_06_23
0.691,0.797,00_06_24
0.721,0.838,00_06_25
0.644,0.82,00_06_27
0.689,0.786,00_06_30
0.665,0.746,00_06_31
0.663,0.801,00_06_47
0.667,0.757,00_06_48
0.665,0.704,00_06_50
0.619,0.797,00_06_52
0.665,0.766,00_06_53
0.674,0.771,00_06_55
0.608,0.816,00_06_57
0.676,0.798,00_06_58
0.675,0.806,00_07_00
0.65,0.821,00_07_02
0.659,0.785,00_07_03
0.674,0.747,00_07_05
