0.621,0.742,00_00_00
0.645,0.761,00_00_02
0.698,0.713,00_00_03
0.659,0.735,00_00_05
0.689,0.697,00_00_07
0.562,0.836,00_00_08
0.673,0.781,00_00_10
0.658,0.695,00_00_11
0.703,0.76,00_00_26
0.671,0.765,00_00_28
0.573,0.749,00_00_29
0.597,0.801,00_00_31
0.617,0.725,00_00_33
0.64,0.74,00_00_34
0.625,0.751,00_00_36
0.552,0.81,00_00_38
0.64,0.748,00_00_40
0.582,0.8,00_00_41
0.614,0.885,00_00_42
0.633,0.824,00_00_44
0.667,0.775,00_00_46
0.679,0.81,00_00_48
0.603,0.802,00_00_50
0.588,0.733,00_00_51
0.718,0.817,00_00_53
0.633,0.806,00_00_54
0.674,0.713,00_00_55
0.555,0.807,00_00_57
0.65,0.775,00_00_59
0.695,0.676,00_01_01
0.507,0.842,00_01_02
0.57,0.862,00_01_04
0.606,0.84,00_01_06
0.666,0.798,00_01_07
0.59,0.823,00_01_09
0.687,0.736,00_01_11
0.62,0.864,00_01_13
0.619,0.738,00_01_15
0.621,0.818,00_01_16
0.667,0.808,00_01_18
0.628,0.829,00_01_19
0.591,0.762,00_01_21
0.636,0.767,00_01_23
0.633,0.743,00_01_25
0.61,0.851,00_01_26
0.594,0.741,00_01_28
0.714,0.725,00_01_30
0.701,0.67,00_01_31
0.58,0.838,00_01_33
0.638,0.932,00_01_35
0.614,0.915,00_01_37
0.642,0.738,00_01_38
0.688,0.769,00_01_40
0.689,0.825,00_01_42
0.731,0.842,00_01_44
0.667,0.795,00_01_45
0.542,0.842,00_01_47
0.552,0.895,00_01_49
0.653,0.847,00_01_50
0.672,0.853,00_01_52
0.659,0.839,00_01_54
0.661,0.79,00_01_56
0.689,0.762,00_01_57
0.683,0.738,00_01_59
0.676,0.753,00_02_01
0.596,0.843,00_02_02
0.661,0.77,00_02_04
0.604,0.75,00_02_06
0.633,0.819,00_02_07
0.637,0.806,00_02_09
0.635,0.807,00_02_11
0.668,0.878,00_02_13
0.699,0.764,00_02_14
0.66,0.788,00_02_16
0.558,0.871,00_02_18
0.711,0.834,00_02_20
0.641,0.899,00_02_21
0.703,0.819,00_02_23
0.731,0.767,00_02_25
0.733,0.791,00_02_26
0.662,0.773,00_02_28
0.621,0.819,00_02_30
0.671,0.763,00_02_32
0.59,0.837,00_02_33
0.707,0.817,00_02_35
0.612,0.858,00_02_37
0.635,0.874,00_02_38
0.722,0.732,00_02_40
0.692,0.76,00_02_42
0.664,0.734,00_02_43
0.74,0.655,00_02_45
0.607,0.796,00_02_47
0.718,0.767,00_02_48
0.635,0.794,00_02_50
0.665,0.799,00_02_52
0.704,0.777,00_02_53
0.724,0.775,00_02_55
0.715,0.743,00_02_56
0.691,0.74,00_02_58
0.619,0.788,00_03_00
0.632,0.852,00_03_02
0.631,0.774,00_03_03
0.696,0.749,00_03_04
0.676,0.749,00_03_06
0.583,0.796,00_03_08
0.632,0.762,00_03_09
0.714,0.836,00_03_11
0.62,0.944,00_03_13
0.661,0.772,00_03_14
0.68,0.758,00_03_16
0.629,0.804,00_03_18
0.638,0.803,00_03_19
0.662,0.822,00_03_21
0.656,0.798,00_03_23
0.689,0.823,00_03_25
0.701,0.72,00_03_26
0.629,0.811,00_03_28
0.751,0.777,00_03_30
0.723,0.806,00_03_31
0.642,0.832,00_03_33
0.625,0.848,00_03_34
0.617,0.862,00_03_36
0.666,0.83,00_03_37
0.718,0.837,00_03_39
0.759,0.782,00_03_41
0.636,0.851,00_03_43
0.64,0.714,00_03_45
0.637,0.782,00_03_46
0.704,0.78,00_03_48
0.742,0.76,00_03_50
0.655,0.753,00_03_52
0.622,0.841,00_03_53
0.627,0.786,00_03_55
0.618,0.794,00_03_57
0.67,0.76,00_03_58
0.643,0.899,00_04_00
0.665,0.738,00_04_02
0.671,0.746,00_04_04
0.616,0.855,00_04_05
0.678,0.741,00_04_07
0.669,0.768,00_04_09
0.737,0.768,00_04_10
0.668,0.751,00_04_12
0.702,0.767,00_04_14
0.686,0.838,00_04_15
0.612,0.878,00_04_17
0.662,0.841,00_04_19
0.585,0.81,00_04_21
0.567,0.819,00_04_22
0.634,0.817,00_04_24
0.713,0.786,00_04_26
0.675,0.712,00_04_28
0.665,0.869,00_04_29
0.616,0.848,00_04_31
0.717,0.804,00_04_33
0.56,0.866,00_04_45
0.634,0.878,00_04_46
0.629,0.852,00_04_48
0.633,0.823,00_04_50
0.672,0.822,00_04_51
0.636,0.878,00_04_53
0.641,0.771,00_04_55
0.659,0.784,00_04_56
0.709,0.759,00_04_58
0.676,0.847,00_05_00
0.729,0.722,00_05_01
0.659,0.811,00_05_03
0.743,0.783,00_05_05
0.733,0.743,00_05_07
0.652,0.794,00_05_08
0.698,0.836,00_05_21
0.692,0.751,00_05_23
0.694,0.897,00_05_24
0.646,0.796,00_05_26
0.724,0.843,00_05_28
0.69,0.747,00_05_30
0.627,0.841,00_05_35
0.729,0.79,00_05_37
0.636,0.778,00_05_38
0.648,0.782,00_05_40
0.639,0.826,00_05_42
0.57,0.803,00_05_44
0.646,0.81,00_05_45
0.7,0.824,00_05_47
0.684,0.8,00_05_49
0.687,0.736,00_05_50
0.719,0.833,00_05_52
0.713,0.755,00_05_54
0.612,0.872,00_05_56
0.69,0.731,00_05_57
0.68,0.818,00_05_59
0.595,0.824,00_06_01
0.598,0.926,00_06_03
0.691,0.755,00_06_04
0.704,0.771,00_06_06
0.627,0.796,00_06_08
0.613,0.815,00_06_10
0.7,0.731,00_06_11
0.644,0.852,00_06_13
0.649,0.855,00_06_14
0.668,0.859,00_06_16
0.673,0.857,00_06_17
0.696,0.774,00_06_19
0.62,0.865,00_06_20
0.741,0.823,00_06_22
0.668,0.702,00_06_23
0.682,0.832,00_06_25
0.69,0.757,00_06_27
0.619,0.796,00_06_29
0.659,0.784,00_06_30
0.65,0.846,00_06_32
0.712,0.783,00_06_33
0.612,0.847,00_06_35
0.608,0.818,00_06_36
0.679,0.74,00_06_38
0.678,0.831,00_06_40
0.661,0.839,00_06_42
0.597,0.828,00_06_43
0.686,0.826,00_06_45
0.684,0.775,00_06_46
0.64,0.869,00_06_48
0.665,0.784,00_06_50
0.686,0.78,00_06_51
0.597,0.859,00_06_52
0.719,0.755,00_06_54
0.696,0.822,00_06_56
0.655,0.746,00_06_57
0.67,0.812,00_06_58
0.606,0.866,00_07_06
0.556,0.871,00_07_08
0.611,0.777,00_07_09
0.657,0.745,00_07_11
0.581,0.831,00_07_13
