khoảng cách trên,khoảng cách dưới
0.731,0.904,2023-10-25_11-25-13-350955
0.699,0.926,2023-10-25_11-25-14-975544
0.742,0.909,2023-10-25_11-25-16-990696
0.736,0.918,2023-10-25_11-25-18-287267
0.738,0.845,2023-10-25_11-25-19-833805
0.687,0.873,2023-10-25_11-25-22-161359
0.703,0.946,2023-10-25_11-25-23-832867
0.671,0.935,2023-10-25_11-25-25-414490
0.771,0.86,2023-10-25_11-25-26-736095
0.696,0.882,2023-10-25_11-25-28-976790
0.703,0.951,2023-10-25_11-25-30-525008
0.755,0.837,2023-10-25_11-25-32-086247
0.712,0.978,2023-10-25_11-25-33-743293
0.698,0.959,2023-10-25_11-25-35-529867
0.634,0.968,2023-10-25_11-25-37-955266
0.756,0.911,2023-10-25_11-25-39-209294
0.663,0.958,2023-10-25_11-25-41-041814
0.663,0.926,2023-10-25_11-25-42-798897
0.676,0.97,2023-10-25_11-25-44-768878
0.723,0.86,2023-10-25_11-25-46-516806
0.778,0.897,2023-10-25_11-25-48-578881
0.757,0.848,2023-10-25_11-25-50-031874
0.742,0.87,2023-10-25_11-25-51-486584
0.711,0.885,2023-10-25_11-25-53-424873
0.78,0.851,2023-10-25_11-25-55-327986
0.728,0.958,2023-10-25_11-25-57-193612
0.722,0.861,2023-10-25_11-25-58-755745
0.699,0.858,2023-10-25_11-26-00-302228
0.727,0.893,2023-10-25_11-26-02-364274
0.727,0.873,2023-10-25_11-26-03-770165
0.74,0.923,2023-10-25_11-26-05-660347
0.679,0.849,2023-10-25_11-26-07-316237
0.703,0,2023-10-25_11-26-08-909616
0.651,0.938,2023-10-25_11-26-10-706070
0.716,0.878,2023-10-25_11-27-24-254348
0.665,0.914,2023-10-25_11-27-25-988288
0.728,0.871,2023-10-25_11-27-27-847256
0.698,0.924,2023-10-25_11-27-29-315633
0.682,0.95,2023-10-25_11-27-31-237086
0.709,0.944,2023-10-25_11-27-32-767977
0.687,0.942,2023-10-25_11-27-34-486324
0.668,0.977,2023-10-25_11-27-36-423676
0.754,0.906,2023-10-25_11-27-37-860838
0.72,0.889,2023-10-25_11-27-39-141788
0.782,0.865,2023-10-25_11-27-40-985104
0.667,0.981,2023-10-25_11-27-42-953396
0.681,0.924,2023-10-25_11-27-44-390556
0.733,0.897,2023-10-25_11-27-46-202632
0.701,0.951,2023-10-25_11-27-47-796009
0.639,0.947,2023-10-25_12-03-46-863843
0.749,0.912,2023-10-25_12-03-48-316627
0.749,0.877,2023-10-25_12-03-50-050595
0.683,0.992,2023-10-25_12-03-51-862670
0.68,0.927,2023-10-25_12-03-53-690367
0.698,0.928,2023-10-25_12-03-55-252501
0.693,0.916,2023-10-25_12-03-57-048954
0.69,0.894,2023-10-25_12-03-58-720836
0.735,0.929,2023-10-25_12-04-08-563309
0.735,0.882,2023-10-25_12-04-09-859879
0.742,0.869,2023-10-25_12-04-11-796926
0.674,0.962,2023-10-25_12-04-13-343438
0.702,0.879,2023-10-25_12-04-15-186759
0.731,0.956,2023-10-25_12-04-17-045695
0.714,0.889,2023-10-25_12-04-18-373509
0.682,0.998,2023-10-25_12-06-01-664909
0.692,0.938,2023-10-25_12-06-03-227043
0.695,0.955,2023-10-25_12-06-06-179476
0.684,0.933,2023-10-25_12-06-08-022793
0.632,0.996,2023-10-25_12-06-09-632359
0.64,0.976,2023-10-25_12-06-11-600647
0.706,0.934,2023-10-25_12-06-13-022189
0.647,0.927,2023-10-25_12-06-14-912371
0.687,0.861,2023-10-25_12-06-16-396398
0.72,0.847,2023-10-25_12-06-18-145988
0.758,0.833,2023-10-25_12-06-19-958063
0.739,0.855,2023-10-25_12-06-21-801381
0.734,0.896,2023-10-25_12-06-23-472863
0.714,0.914,2023-10-25_12-06-25-363046
0.703,0.921,2023-10-25_12-06-31-533861
0.715,0.883,2023-10-25_12-06-33-158479
0.716,0.899,2023-10-25_12-06-34-876828
0.666,0.936,2023-10-25_12-06-36-657660
0.713,0.886,2023-10-25_12-06-38-235413
0.71,0.885,2023-10-25_12-06-40-031868
0.731,0.967,2023-10-25_12-06-41-718972
0.71,0.902,2023-10-25_12-06-43-765367
0.729,0.867,2023-10-25_12-06-45-436822
0.726,0.899,2023-10-25_12-06-47-217682
0.716,0.926,2023-10-25_12-06-49-061156
0.724,0.949,2023-10-25_12-06-51-639400
0.685,0.921,2023-10-25_12-06-53-451475
0.676,0.934,2023-10-25_12-06-55-013609
0.757,0.85,2023-10-25_12-06-56-872544
0.764,0.905,2023-10-25_12-06-58-778350
0.672,0.984,2023-10-25_12-07-00-637632
0.745,0.906,2023-10-25_12-07-02-340356
0.69,0.919,2023-10-25_12-07-05-046264
0.664,0.976,2023-10-25_12-07-06-717747
0.663,0.932,2023-10-25_12-07-08-733227
0.699,0.928,2023-10-25_12-07-10-577374
0.73,0.882,2023-10-25_12-07-12-139508
0.694,0.878,2023-10-25_12-07-13-982827
0.707,0.883,2023-10-25_12-07-16-936689
0.679,0.946,2023-10-25_12-07-18-748764
0.699,0.959,2023-10-25_12-07-20-467111
0.716,0.923,2023-10-25_12-07-22-857558
0.669,0.916,2023-10-25_12-07-24-325963
0.682,0.963,2023-10-25_12-07-26-153659
0.737,0.934,2023-10-25_12-07-27-715806
0.717,0.926,2023-10-25_12-07-29-559111
0.71,0.945,2023-10-25_12-07-31-121246
0.687,0.934,2023-10-25_12-07-32-995805
0.715,0.903,2023-10-25_12-07-34-651670
0.721,0.924,2023-10-25_12-07-36-401259
0.755,0.906,2023-10-25_12-07-38-260197
0.649,0.974,2023-10-25_12-07-40-135059
0.717,0.948,2023-10-25_12-07-41-494113
0.714,0.918,2023-10-25_12-07-43-493835
0.696,0.931,2023-10-25_12-07-45-212154
0.723,0.874,2023-10-25_12-07-47-039850
0.672,0.971,2023-10-25_12-07-48-602013
0.694,0.934,2023-10-25_12-07-50-460955
0.711,0.94,2023-10-25_12-07-52-569831
0.673,0.938,2023-10-25_12-07-54-100724
0.71,0.884,2023-10-25_12-07-56-350195
0.742,0.842,2023-10-25_12-07-58-271620
0.781,0.897,2023-10-25_12-07-59-833756
0.74,0.887,2023-10-25_12-08-01-723937
0.732,0.903,2023-10-25_12-08-38-591312
0.727,0.96,2023-10-25_12-08-40-028476
0.719,0.94,2023-10-25_12-08-42-106105
0.665,0.928,2023-10-25_12-08-43-808832
0.662,0.961,2023-10-25_12-08-45-667771
0.678,0.93,2023-10-25_12-08-47-543018
0.694,0.913,2023-10-25_12-08-49-448824
0.675,0.961,2023-10-25_12-08-51-230012
0.744,0.913,2023-10-25_12-08-53-151409
0.738,0.888,2023-10-25_12-09-10-132182
0.698,0.964,2023-10-25_12-09-11-616715
0.666,0.902,2023-10-25_12-09-13-491276
0.634,0.985,2023-10-25_12-09-15-178383
0.754,0.904,2023-10-25_12-09-17-084184
0.663,0.925,2023-10-25_12-09-18-740046
0.683,0.958,2023-10-25_12-09-20-286565
0.743,0.866,2023-10-25_12-09-22-457925
0.687,0.872,2023-10-25_12-09-24-145030
0.703,0.897,2023-10-25_12-09-25-754025
0.67,0.953,2023-10-25_12-09-27-487999
0.638,0.978,2023-10-25_12-09-29-112618
0.656,0.941,2023-10-25_12-09-31-096523
0.675,0.915,2023-10-25_12-09-32-830492
0.65,0.87,2023-10-25_12-09-34-408612
0.708,0.862,2023-10-25_12-09-36-205252
0.657,0.901,2023-10-25_12-09-49-108476
0.705,0.971,2023-10-25_12-09-50-795581
0.736,0.88,2023-10-25_12-09-52-326472
0.711,0.898,2023-10-25_12-09-54-466604
0.695,0.965,2023-10-25_12-09-55-981865
0.705,0.86,2023-10-25_12-09-57-809566
0.719,0.894,2023-10-25_12-09-59-340452
0.688,1.008,2023-10-25_12-10-03-246043
0.714,0.879,2023-10-25_12-10-09-807006
0.661,0.968,2023-10-25_12-10-11-322274
0.708,0.94,2023-10-25_12-10-13-166110
0.713,0.887,2023-10-25_12-10-14-759953
0.676,0.98,2023-10-25_12-10-16-415812
0.683,0.923,2023-10-25_12-10-18-368479
0.733,0.972,2023-10-25_12-10-19-930613
0.69,0.917,2023-10-25_12-10-21-789558
0.657,0.977,2023-10-25_12-10-23-726598
0.692,0.954,2023-10-25_12-10-25-491810
0.708,0.969,2023-10-25_12-10-27-335136
0.737,0.883,2023-10-25_12-10-29-022233
0.708,0.932,2023-10-25_12-10-30-928199
0.749,0.918,2023-10-25_12-10-32-677788
0.686,0.94,2023-10-25_12-10-34-755790
0.696,0.92,2023-10-25_12-10-36-583456
0.706,0.853,2023-10-25_12-10-38-145617
0.685,0.877,2023-10-25_12-10-39-973315
0.709,0.851,2023-10-25_12-10-41-613895
0.739,0.899,2023-10-25_12-10-43-597803
0.736,0.902,2023-10-25_12-10-45-503605
0.713,0.881,2023-10-25_12-10-47-112606
0.726,0.843,2023-10-25_12-10-49-096514
0.717,0.911,2023-10-25_12-10-54-876409
0.724,0.94,2023-10-25_12-10-56-407299
0.713,0.936,2023-10-25_12-10-58-578665
0.665,0.868,2023-10-25_12-11-00-172041
0.757,0.84,2023-10-25_12-11-01-843524
0.719,0.792,2023-10-25_12-11-03-671615
0.755,0.845,2023-10-25_12-11-05-233750
0.714,0.861,2023-10-25_12-11-06-530319
0.699,0.884,2023-10-25_12-11-09-124173
0.725,0.902,2023-10-25_12-11-11-108088
0.726,0.97,2023-10-25_12-11-12-748326
0.722,0.883,2023-10-25_12-11-15-656073
0.754,0.897,2023-10-25_12-11-17-343177
0.756,0.891,2023-10-25_12-11-19-155253
0.761,0.902,2023-10-25_12-11-21-107891
0.728,0.928,2023-10-25_12-11-22-810645
0.742,0.852,2023-10-25_12-11-24-528993
0.728,0.887,2023-10-25_12-11-25-841185
0.731,0.933,2023-10-25_12-11-27-715745
0.68,0.905,2023-10-25_12-11-29-434092
0.688,0.895,2023-10-25_12-11-32-121295
0.714,0.9,2023-10-25_12-11-34-058341
0.769,0.917,2023-10-25_12-11-35-620475
0.752,0.88,2023-10-25_12-11-37-416929
0.654,0.921,2023-10-25_12-11-39-119655
