khoảng cách trên,khoảng cách dưới
0.694,0,07_24_30
0.462,0.391,07_25_01
0,0.951,07_25_02
0,0,07_25_04
0.519,0,07_25_05
0.532,0.82,07_25_07
0.744,0.738,07_25_24
0.518,0.737,07_25_26
0.563,0.659,07_25_29
0.706,0.785,07_25_32
0.667,0.816,07_25_35
0.728,0.897,07_25_38
0,0,07_25_41
0,0.856,07_25_44
0.628,0,07_25_47
0.566,0.74,07_26_09
0,0,07_26_11
0.731,0.899,07_26_13
0,0,07_26_15
0.405,0.488,07_26_17
0,0,07_26_18
0.692,0.842,07_27_13
0.263,0.634,07_27_14
0.738,0,07_27_15
0,0,07_27_16
0,0.679,07_27_18
0.654,0.68,07_27_20
0.577,0.948,07_27_21
0.589,0.658,07_27_23
0.513,0.699,07_27_26
0.605,0.904,07_27_29
0.637,0.851,07_27_32
0.709,0.907,07_27_35
0,0,07_27_38
0.696,0,07_27_41
0,0.798,07_27_44
0.577,0.735,07_30_19
0,0,07_30_22
0.721,0.911,07_30_24
0,0,07_30_25
0.367,0.542,07_30_27
0,0,07_30_28
0.669,0.817,07_31_45
0.668,0.833,07_31_47
0.603,0.854,07_31_48
0.703,0.825,07_31_50
0.602,0.918,07_31_52
0.665,0.911,07_31_53
0.603,0.87,07_31_55
0.654,0.813,07_31_56
0.696,0.847,07_31_58
0.654,0.793,07_31_59
0.676,0.83,07_32_01
0.628,0.934,07_32_02
0.671,0.896,07_32_04
0.73,0.802,07_32_06
0.704,0.865,07_32_07
0.701,0.804,07_32_09
0.753,0.826,07_32_16
0.68,0.846,07_32_18
0.73,0.801,07_32_20
0.629,0.89,07_32_21
0.701,0.84,07_32_33
0.63,0.848,07_32_35
0.673,0.821,07_32_37
0.693,0.79,07_32_39
0.661,0.861,07_35_13
0.673,0.862,07_35_15
0.621,0.878,07_35_17
0.649,0.844,07_37_20
0.557,0.888,07_37_21
0.68,0.804,07_37_23
0.69,0.789,07_37_30
0.682,0.8,07_37_32
0.586,0.853,07_37_58
0.637,0.766,07_37_59
0.683,0.804,07_38_01
0.605,0.953,07_38_02
0.716,0.79,07_38_04
0.734,0.815,07_38_06
0.592,0.854,07_38_08
0.58,0.933,07_38_10
0.69,0.801,07_38_11
0.672,0.794,07_38_13
0.593,0.856,07_38_15
0.683,0.837,07_38_17
0.667,0.883,07_38_18
0.595,0.929,07_38_20
0.62,0.854,07_38_22
0.649,0.838,07_38_24
0.631,0.845,07_38_25
0.687,0.847,07_38_27
0.644,0.894,07_38_29
0.683,0.802,07_38_30
0.651,0.824,07_38_33
0.607,0.88,07_38_34
0.686,0.818,07_38_37
0.602,0.876,07_38_38
0.653,0.893,07_38_40
0.605,0.87,07_38_42
0.629,0.769,07_38_44
0.645,0.842,07_38_45
0.679,0.799,07_38_47
0.664,0.827,07_38_49
0.661,0.79,07_38_51
0.593,0.909,07_38_52
0.693,0.81,07_38_54
0.638,0.869,07_38_56
0.695,0.773,07_38_58
0.657,0.848,07_38_59
0.67,0.746,07_39_01
0.582,0.844,07_39_03
0.613,0.835,07_39_05
0.581,0.888,07_39_07
0.604,0.859,07_39_08
0.632,0.885,07_39_10
0.729,0.806,07_39_12
0.589,0.895,07_39_14
0.577,0.825,07_39_16
0.676,0.794,07_39_17
0.673,0.804,07_39_19
0.656,0.8,07_39_21
0.646,0.773,07_39_23
0.647,0.868,07_39_24
0.612,0.842,07_39_26
0.731,0.812,07_39_28
0.64,0.825,07_39_30
0.674,0.825,07_39_31
