khoảng cách trên,khoảng cách dưới
0.604,0.828,13_39_12
0.735,0.75,13_39_14
0.663,0.919,13_39_15
0.715,0.875,13_39_17
0.685,0.895,13_39_19
0.696,0.925,13_39_21
0.689,0.916,13_39_22
0.68,0.936,13_39_24
0.623,0.811,13_39_26
0.708,0.824,13_39_27
0.717,0.946,13_39_29
0.683,0.918,13_39_31
0.774,0.865,13_39_32
0.727,0.897,13_39_34
0.741,0.823,13_39_36
0.716,0.893,13_39_37
0.715,0.966,13_39_39
0.701,0.894,13_39_41
0.69,0.907,13_39_42
0.702,0.886,13_39_44
0.74,0.869,13_39_46
0.781,0.776,13_39_48
0.64,0.881,13_39_49
0.646,0.902,13_39_51
0.665,0.961,13_39_53
0.739,0.857,13_39_54
0.674,0.879,13_39_56
0.741,0.857,13_39_58
0.716,0.944,13_39_59
0.725,0.888,13_40_01
0.682,0.912,13_40_03
0.699,0.882,13_40_05
0.702,0.901,13_40_06
0.714,0.881,13_40_08
0.68,0.87,13_40_10
0.639,0.905,13_40_11
0.744,0.833,13_40_13
0.689,0.875,13_40_15
0.681,0.845,13_40_17
0.676,0.906,13_40_18
0.651,0.96,13_40_20
0.678,0.868,13_40_22
0.796,0.797,13_40_23
0.716,0.848,13_40_25
0.654,0.895,13_40_27
0.662,0.923,13_40_29
0.7,0.824,13_40_30
0.769,0.893,13_40_32
0.668,0.914,13_40_33
0.679,0.988,13_40_35
0.717,0.798,13_40_37
0.645,0.889,13_40_38
0.636,0.925,13_40_40
0.651,0.907,13_40_42
0.71,0.882,13_41_23
0.731,0.779,13_41_32
0.685,0.856,13_41_34
0.679,0.859,13_41_35
0.727,0.869,13_41_37
0.757,0.861,13_41_38
0.724,0.839,13_41_39
0.668,0.937,13_41_41
0.811,0.849,13_41_43
0.768,0.85,13_41_45
0.614,0.974,13_41_46
0.717,0.893,13_41_48
0.717,0.829,13_41_50
0.719,0.834,13_41_52
0.707,0.918,13_41_53
0.698,0.965,13_41_55
0.666,0.964,13_41_57
0.761,0.864,13_41_58
0.748,0.84,13_42_00
0.664,0.872,13_42_02
0.664,0.785,13_42_03
0.674,0.888,13_42_05
0.579,0.949,13_42_07
0.669,0.916,13_42_09
0.715,0.85,13_42_10
0.711,0.843,13_42_12
