khoảng cách trên,khoảng cách dưới
0.659,0.686,07_50_54
0.653,0.714,07_50_56
0.662,0.751,07_50_57
0.647,0.724,07_51_00
0.689,0.751,07_51_02
0.602,0.722,07_51_04
0.711,0.773,07_51_05
0.687,0.809,07_51_07
0.662,0.649,07_51_08
0.67,0.824,07_52_27
0.665,0.77,07_52_29
0.687,0.768,07_52_31
0.722,0.679,07_52_32
0.64,0.788,07_52_34
0.675,0.657,07_52_36
0.696,0.74,07_52_38
0.688,0.729,07_52_39
0.635,0.716,07_52_41
0.661,0.734,07_52_42
0.639,0.747,07_52_44
0.627,0.767,07_52_46
0.673,0.771,07_52_47
0.75,0.72,07_52_49
0.649,0.796,07_52_50
0.742,0.738,07_52_52
0.757,0.696,07_52_54
0.719,0.729,07_52_55
0.653,0.747,07_52_57
0.613,0.751,07_52_59
0.682,0.756,07_53_00
0.691,0.811,07_53_02
0.667,0.771,07_53_03
0.649,0.721,07_53_05
0.652,0.734,07_53_06
0.716,0.776,07_53_09
0.676,0.728,07_53_10
0.621,0.77,07_54_14
0.672,0.721,07_54_16
0.67,0.734,07_54_18
0.618,0.722,07_54_19
0.653,0.729,07_54_21
0.611,0.779,07_54_23
0.674,0.797,07_54_24
0.662,0.699,07_54_26
0.646,0.745,07_54_27
0.683,0.761,07_54_29
0.656,0.696,07_54_31
0.728,0.774,07_54_36
0.734,0.731,07_54_38
0.608,0.707,07_54_39
0.654,0.712,07_54_41
0.699,0.726,07_54_42
0.695,0.698,07_54_44
0.712,0.726,07_54_46
0.626,0.765,07_54_47
0.646,0.675,07_54_49
0.704,0.713,07_55_51
0.72,0.791,07_55_53
0.715,0.744,07_55_54
0.692,0.664,07_55_56
0.657,0.692,07_55_57
0.675,0.707,07_55_59
0.694,0.764,07_56_00
0.653,0.699,07_56_02
0.659,0.806,07_56_04
0.676,0.74,07_56_05
0.662,0.748,07_56_07
0.705,0.749,07_56_09
0.61,0.754,07_56_10
0.755,0.69,07_56_12
0.697,0.74,07_56_13
0.672,0.663,07_56_15
0.685,0.744,07_56_17
0.748,0.716,07_56_19
0.653,0.73,07_56_20
0.652,0.703,07_56_22
0.679,0.694,07_56_23
0.687,0.772,07_56_25
0.691,0.662,07_56_27
0.64,0.818,07_56_28
0.675,0.738,07_56_30
0.677,0.812,07_56_31
0.712,0.723,07_56_33
0.656,0.75,07_56_35
0.679,0.696,07_56_36
0.656,0.772,07_56_38
0.633,0.795,07_56_39
0.691,0.744,07_56_41
0.726,0.711,07_56_43
0.65,0.725,07_56_44
0.658,0.69,07_56_46
0.66,0.733,07_56_47
0.672,0.706,07_56_49
0.68,0.729,07_56_51
0.703,0.751,07_56_52
0.729,0.689,07_56_54
0.65,0.747,07_56_56
0.731,0.745,07_56_57
0.706,0.749,07_56_59
0.704,0.745,07_57_00
0.73,0.751,07_57_02
0.709,0.757,07_57_03
0.685,0.726,07_57_05
0.675,0.695,07_57_07
0.686,0.783,07_57_08
0.664,0.773,07_57_10
0.691,0.76,07_57_12
0.669,0.729,07_57_13
0.698,0.797,07_57_15
0.673,0.849,07_57_16
0.724,0.721,07_57_18
0.753,0.789,07_57_19
0.706,0.755,07_57_21
0.64,0.769,07_57_35
0.613,0.829,07_57_37
0.698,0.772,07_57_39
0.68,0.749,07_57_40
0.674,0.714,07_57_42
0.687,0.719,07_57_43
0.663,0.832,07_57_45
0.691,0.773,07_57_47
0.7,0.803,07_57_48
0.689,0.802,07_57_50
0.691,0.711,07_58_03
0.699,0.733,07_58_05
0.731,0.757,07_58_07
0.666,0.738,07_58_08
0.699,0.817,07_58_10
0.622,0.786,07_58_11
0.655,0.749,07_58_13
0.624,0.782,07_58_15
0.676,0.777,07_58_16
0.662,0.832,07_58_18
0.689,0.712,07_58_19
0.694,0.747,07_58_32
0.644,0.795,07_58_33
0.712,0.737,07_58_35
0.719,0.799,07_58_37
0.689,0.757,07_58_38
0.701,0.689,07_58_40
0.681,0.802,07_58_42
0.653,0.754,07_58_43
0.73,0.714,07_58_45
0.65,0.722,07_58_46
0.668,0.723,07_58_48
0.717,0.765,07_58_50
0.701,0.748,07_59_00
0.628,0.746,07_59_01
0.669,0.729,07_59_03
0.707,0.748,07_59_05
0.661,0.803,07_59_07
0.681,0.679,07_59_08
0.709,0.705,07_59_10
0.691,0.741,07_59_12
0.69,0.716,07_59_13
0.621,0.812,07_59_15
0.598,0.79,07_59_16
0.595,0.809,07_59_18
0.698,0.704,07_59_20
0.667,0.776,07_59_29
0.67,0.728,07_59_30
0.684,0.781,07_59_32
0.707,0.761,07_59_34
0.706,0.71,07_59_36
0.721,0.778,07_59_38
0.682,0.746,07_59_39
0.702,0.677,07_59_41
0.648,0.733,07_59_42
0.641,0.716,07_59_44
0.69,0.737,07_59_46
0.714,0.716,07_59_47
0.668,0.708,07_59_49
0.648,0.739,07_59_50
0.66,0.788,07_59_52
0.675,0.829,07_59_54
0.674,0.736,07_59_55
0.661,0.715,07_59_57
0.658,0.743,07_59_58
0.629,0.845,08_00_00
0.523,0.878,08_00_01
0.507,0.9,08_00_03
0.63,0.868,08_00_05
0.708,0.769,08_00_06
0.678,0.809,08_00_08
0.665,0.674,08_00_10
0.684,0.75,08_00_11
0.685,0.695,08_00_14
0.656,0.715,08_00_16
0.662,0.711,08_00_17
0.694,0.763,08_00_19
0.602,0.799,08_00_21
0.701,0.743,08_00_22
0.671,0.766,08_00_24
0.63,0.75,08_00_26
0.671,0.754,08_00_27
0.656,0.733,08_00_29
0.622,0.771,08_00_30
0.663,0.744,08_00_32
0.599,0.751,08_00_34
0.688,0.69,08_00_36
0.69,0.674,08_00_37
0.676,0.704,08_00_38
0.713,0.714,08_02_12
0.682,0.717,08_02_14
0.651,0.699,08_02_16
0.695,0.77,08_02_17
0.585,0.787,08_02_19
0.647,0.718,08_02_20
0.702,0.798,08_02_22
0.685,0.752,08_02_24
0.676,0.796,08_02_25
0.687,0.778,08_02_27
0.687,0.739,08_02_28
0.759,0.683,08_02_30
0.656,0.751,08_02_31
