0.724,0.885,00_00_00
0.745,0.862,00_00_02
0.732,0.838,00_00_03
0.75,0.932,00_00_17
0.768,0.836,00_00_18
0.679,0.834,00_00_20
0.732,0.904,00_00_22
0.714,0.882,00_00_23
0.715,0.966,00_00_25
0.686,0.833,00_00_26
0.705,0.92,00_00_28
0.759,0.754,00_00_30
0.737,0.839,00_00_31
0.691,0.938,00_00_33
0.732,0.91,00_00_34
0.707,0.876,00_00_36
0.707,0.881,00_00_37
0.76,0.831,00_00_39
0.713,0.821,00_00_41
0.723,0.85,00_00_42
0.738,0.853,00_00_44
0.737,0.899,00_00_45
0.693,0.887,00_00_47
0.77,0.785,00_00_49
0.672,0.936,00_00_50
0.708,0.838,00_00_52
0.686,0.921,00_00_53
0.693,0.871,00_00_55
0.694,0.855,00_00_57
0.683,0.87,00_00_58
0.709,0.895,00_01_00
0.74,0.818,00_01_01
0.667,0.964,00_01_03
0.672,0.92,00_01_05
0.701,0.938,00_01_06
0.748,0.847,00_01_08
0.712,0.919,00_01_09
0.706,0.854,00_01_11
0.742,0.891,00_01_12
0.623,0.859,00_01_14
0.653,0.855,00_01_16
0.796,0.843,00_01_18
0.687,0.858,00_01_19
0.703,0.829,00_01_21
0.743,0.876,00_01_22
0.731,0.897,00_01_24
0.704,0.932,00_01_25
0.659,0.939,00_01_27
0.612,0.91,00_01_29
0.707,0.877,00_01_30
0.682,0.807,00_01_32
0.693,0.904,00_01_34
0.699,0.88,00_01_35
0.728,0.779,00_01_37
0.7,0.959,00_01_38
0.647,0.908,00_01_40
0.785,0.812,00_01_41
0.732,0.89,00_01_43
0.703,0.944,00_01_45
0.694,0.874,00_01_46
0.66,0.933,00_01_48
0.741,0.894,00_01_49
0.71,0.933,00_01_51
0.689,0.918,00_01_53
0.736,0.842,00_01_54
0.719,0.858,00_01_56
0.71,0.893,00_01_57
0.639,0.864,00_01_59
0.757,0.881,00_02_01
0.717,0.96,00_02_02
0.706,0.887,00_02_04
0.679,0.876,00_02_05
0.666,0.937,00_02_07
0.7,0.816,00_02_09
0.65,0.96,00_02_10
0.699,0.869,00_02_12
0.681,0.898,00_02_14
0.697,0.869,00_02_15
0.687,0.834,00_02_17
0.69,0.891,00_02_19
0.678,0.859,00_02_20
0.689,0.838,00_02_22
0.72,0.909,00_02_24
0.731,0.852,00_02_25
0.664,0.874,00_02_27
0.654,0.914,00_02_28
0.704,0.866,00_02_30
0.671,0.946,00_02_32
0.626,0.984,00_02_33
0.699,0.917,00_02_38
0.709,0.816,00_02_39
0.732,0.821,00_02_41
0.669,0.858,00_02_43
0.641,0.871,00_02_44
0.64,0.893,00_02_46
0.669,0.867,00_02_48
0.702,0.844,00_02_49
0.747,0.854,00_02_51
0.686,0.8,00_02_52
0.758,0.832,00_02_54
0.644,0.899,00_02_56
0.71,0.952,00_02_57
0.714,0.857,00_02_59
0.694,0.806,00_03_00
0.689,0.879,00_03_02
0.715,0.815,00_03_04
0.656,0.892,00_03_16
0.703,0.863,00_03_18
0.711,0.833,00_03_19
0.666,0.905,00_03_21
0.682,0.872,00_03_23
0.721,0.899,00_03_24
0.697,0.914,00_03_26
0.756,0.803,00_03_27
0.665,0.91,00_03_29
0.68,0.889,00_03_30
0.689,0.855,00_03_32
0.657,0.816,00_03_34
0.701,0.868,00_03_35
0.712,0.815,00_03_37
0.677,0.939,00_03_39
0.818,0.672,00_03_40
0.698,0.909,00_03_41
0.679,0.824,00_03_43
0.657,0.971,00_03_45
0.67,0.863,00_03_47
0.714,0.826,00_03_48
0.734,0.885,00_03_50
0.732,0.913,00_03_52
0.74,0.835,00_03_53
0.649,0.891,00_03_55
0.716,0.875,00_03_56
0.644,0.941,00_03_58
0.783,0.799,00_04_00
0.673,0.865,00_04_01
0.683,0.943,00_04_03
0.655,0.877,00_04_04
0.642,0.843,00_04_07
0.711,0.889,00_04_09
0.627,0.892,00_04_10
0.714,0.853,00_04_12
0.735,0.836,00_04_13
0.694,0.885,00_04_15
0.716,0.914,00_04_17
0.727,0.903,00_04_18
0.721,0.889,00_04_20
0.711,0.849,00_04_22
0.693,0.944,00_04_23
0.692,0.842,00_04_24
0.67,0.921,00_04_27
0.72,0.866,00_04_29
0.716,0.85,00_04_30
0.683,0.871,00_04_32
0.745,0.862,00_04_33
0.708,0.873,00_04_35
0.704,0.803,00_04_37
0.756,0.895,00_04_39
0.725,0.929,00_04_40
0.686,0.886,00_04_42
0.716,0.835,00_04_43
0.744,0.869,00_04_46
0.746,0.834,00_04_47
0.736,0.768,00_04_49
0.698,0.791,00_04_50
0.709,0.915,00_04_51
0.743,0.794,00_04_53
0.72,0.801,00_04_55
0.725,0.861,00_04_56
0.687,0.868,00_04_58
0.696,0.911,00_05_00
0.708,0.889,00_05_01
0.735,0.834,00_05_03
0.662,0.911,00_05_04
0.74,0.853,00_05_06
0.707,0.894,00_05_08
0.685,0.87,00_05_10
0.68,0.85,00_05_11
0.652,0.952,00_05_22
0.78,0.858,00_05_24
0.721,0.863,00_05_25
0.74,0.935,00_05_27
0.646,0.918,00_05_29
0.649,0.903,00_05_31
0.664,0.86,00_05_33
0.701,0.845,00_05_34
0.68,0.912,00_05_39
0.759,0.781,00_05_40
0.772,0.862,00_05_42
0.734,0.786,00_05_44
0.712,0.899,00_05_46
0.644,0.898,00_05_48
0.732,0.92,00_05_50
0.715,0.968,00_05_51
0.691,0.896,00_05_53
0.727,0.853,00_05_56
0.688,0.869,00_05_58
0.713,0.92,00_06_00
0.736,0.9,00_06_01
0.695,0.923,00_06_03
0.723,0.901,00_06_05
0.681,0.876,00_06_06
0.658,0.738,00_06_08
0.64,0.659,00_06_10
0.522,0.707,00_06_11
0.82,0.591,00_06_13
0.695,0.883,00_06_14
0.669,0.864,00_06_15
0.677,0.9,00_06_17
0.706,0.818,00_06_19
0.7,0.677,00_06_20
0.658,0.763,00_06_22
0.706,0.585,00_06_24
0.605,0.751,00_06_25
0.707,0.874,00_06_26
0.738,0.812,00_06_28
0.715,0.88,00_06_30
0.692,0.929,00_06_32
0.655,0.618,00_06_33
0.772,0.371,00_06_34
0.789,0.559,00_06_36
0.706,0.852,00_06_38
0.73,0.845,00_06_39
0.689,0.834,00_06_41
0.698,0.872,00_06_42
0.708,0.922,00_06_44
0.675,0.892,00_06_46
0.743,0.799,00_06_48
0.756,0.885,00_06_49
0.69,0.781,00_06_50
0.716,0.796,00_06_52
0.669,0.927,00_06_54
0.694,0.928,00_06_55
0.705,0.874,00_06_57
0.726,0.829,00_06_59
0.749,0.835,00_07_00
0.718,0.961,00_07_02
0.75,0.802,00_07_03
0.753,0.937,00_07_05
0.728,0.889,00_07_07
0.709,0.893,00_07_08
0.693,0.898,00_07_10
0.715,0.87,00_07_11
0.719,0.825,00_07_13
0.757,0.882,00_07_15
0.742,0.832,00_07_16
0.746,0.936,00_07_18
0.736,0.772,00_07_19
0.669,0.864,00_07_21
0.727,0.826,00_07_23
0.67,0.889,00_07_24
0.673,0.833,00_07_26
