khoảng cách trên,khoảng cách dưới
0.615,0.861,07_05_30
0.248,0.652,07_05_32
0.737,0,07_05_33
0,0,07_06_31
0,0,07_06_31
0,0.683,07_06_32
0,0.683,07_06_32
0.645,0.69,07_06_33
0.739,0.743,07_06_35
0.589,0.66,07_06_36
0.508,0.712,07_16_27
0.508,0.712,07_16_27
0.509,0.712,07_16_27
0.508,0.711,07_16_27
0.509,0.713,07_16_27
0.508,0.713,07_16_28
0.603,0.9,07_16_33
0.638,0.849,07_16_34
0.638,0.849,07_16_34
0.71,0.91,07_16_37
0,0,07_16_40
0.702,0,07_16_42
0,0.794,07_16_45
0,0.794,07_16_46
0.576,0.742,07_17_04
0,0,07_17_06
0.734,0.895,07_17_08
0,0,07_22_44
0,0,07_22_44
0,0,07_22_44
0,0,07_22_44
0,0,07_22_44
0.365,0.544,07_22_47
0,0,07_22_48
0,0,07_22_49
0.678,0.874,07_30_00
0.452,0.406,07_30_11
0,0.955,07_30_15
0,0,07_30_21
0.527,0,07_30_25
0.536,0.813,07_30_30
0.576,0.944,07_30_34
0.512,0.742,07_30_41
0.56,0.661,07_30_48
0.714,0.765,07_30_52
0.667,0.821,07_30_55
0.735,0.893,07_31_11
0,0,07_31_15
0,0.858,07_31_21
0.629,0,07_31_29
0.561,0.746,07_31_47
0,0,07_31_53
0.723,0.917,07_31_54
0,0,07_31_57
0.394,0.515,07_32_01
0,0,07_32_02
0.706,0.85,07_34_30
0.262,0.628,07_34_32
0.735,0,07_34_33
0,0,07_34_34
0,0.673,07_34_36
0.637,0.695,07_34_38
0.743,0.735,07_34_39
0.58,0.669,07_34_41
0.509,0.709,07_34_44
0.603,0.904,07_34_47
0.636,0.851,07_34_50
0.711,0.909,07_34_52
0,0,07_34_56
0.695,0,07_34_59
0,0.793,07_35_02
0.573,0.74,07_36_16
0,0,07_36_18
0.733,0.904,07_36_20
0,0,07_36_22
0.376,0.546,07_36_23
0,0,07_36_25
0.65,0.868,07_37_50
0.72,0.792,07_37_51
0.624,0.886,07_37_53
0.649,0.826,07_37_54
0.647,0.776,07_37_56
0.66,0.955,07_37_58
0.706,0.817,07_37_59
0.642,0.866,07_38_01
0.709,0.861,07_38_03
0.634,0.9,07_38_04
0.646,0.835,07_38_06
0.657,0.879,07_38_08
0.691,0.748,07_38_09
0.662,0.806,07_38_11
0.629,0.878,07_38_13
0.697,0.829,07_38_14
0.703,0.828,07_38_16
0.64,0.895,07_38_18
0.711,0.871,07_38_19
0.66,0.853,07_38_21
0.629,0.825,07_38_22
0.66,0.922,07_38_24
0.666,0.914,07_38_26
0.698,0.868,07_38_29
0.741,0.776,07_38_31
0.689,0.824,07_38_32
0.791,0.774,07_38_34
0.692,0.87,07_38_36
0.628,0.896,07_38_37
0.711,0.803,07_50_47
0.707,0.842,07_50_48
0.692,0.765,07_50_50
0.696,0.822,07_50_52
0.687,0.749,07_51_05
0.643,0.846,07_51_07
0.594,0.872,07_51_09
0.662,0.861,07_51_10
0.656,0.821,07_51_54
0.675,0.93,07_51_55
0.729,0.786,07_51_57
0.767,0.817,07_51_59
0.704,0.885,07_52_33
0.675,0.882,07_52_35
0.686,0.789,07_52_37
0.685,0.831,07_52_38
0.689,0.886,07_53_50
0.719,0.839,07_53_52
0.739,0.893,07_53_54
0.743,0.784,07_53_55
0.712,0.812,07_54_11
0.664,0.917,07_54_12
0.609,0.914,07_54_14
0.693,0.825,07_54_16
0.658,0.869,07_54_51
0.667,0.847,07_54_52
0.608,0.883,07_54_54
0.682,0.76,07_54_56
0.68,0.816,07_55_24
0.661,0.826,07_55_26
0.615,0.883,07_56_11
0.656,0.908,07_56_12
0.693,0.81,07_57_30
0.616,0.939,07_57_32
0.658,0.913,07_57_34
0.607,1.152,07_57_35
0.689,0.766,07_58_01
0.654,0.848,07_58_02
