khoảng cách trên,khoảng cách dưới
0.696,0,07_18_43
0.305,0,07_18_52
0.89,1.054,07_18_54
0,0,07_22_08
0,0.688,07_22_15
0.608,0.677,07_22_20
0.584,0.896,07_22_21
0.529,0.703,07_22_22
0.56,0.68,07_22_26
0.698,0.726,07_22_28
0.656,0.814,07_22_31
0.719,0.846,07_22_34
0,0,07_22_37
0.714,0,07_22_39
0.63,0,07_22_43
0.548,0.733,07_22_45
0,0,07_22_48
0.714,0.901,07_22_50
0.632,0.73,07_22_52
0.402,0.482,07_22_53
0,0,07_22_55
0.65,0.777,07_24_12
0,0.398,07_24_14
0.84,1.107,07_24_15
0,0,07_24_16
0.536,0,07_24_18
0.529,0.769,07_24_19
0.713,0.727,07_24_21
0.541,0.665,07_24_22
0.552,0.701,07_24_25
0.575,0.874,07_24_28
0.659,0.813,07_24_31
0.688,0.893,07_24_34
0,0,07_24_37
0,0.922,07_24_39
0,0.775,07_24_42
0.574,0.707,07_24_45
0,0,07_24_48
0.731,0.878,07_24_50
0.597,0.776,07_24_52
0.36,0.534,07_24_53
0,0,07_24_54
0,0.667,07_27_57
0.619,0.831,07_27_59
0.639,0.736,07_28_00
0.609,0.74,07_28_03
0.551,0,07_28_04
0.574,0.728,07_28_05
0.545,0.701,07_28_07
0.64,0.839,07_28_09
0.669,0.741,07_28_11
0.602,0.846,07_28_12
0.6,0.869,07_28_14
0.601,0.876,07_28_15
0.576,0.95,07_29_29
0.68,0.812,07_29_30
0.649,0.831,07_29_32
0.682,0.76,07_29_34
0.61,0.817,07_29_35
0.752,0.754,07_29_37
0.667,0.899,07_29_39
0.751,0.833,07_29_40
0.696,0,07_29_42
0.684,0,07_29_44
0.657,0.887,07_29_45
0.695,0.804,07_29_47
0.718,0.86,07_29_48
0.698,0.856,07_29_50
0.718,0.835,07_29_51
0.704,0.858,07_29_53
0.704,0.907,07_29_54
0.698,0.779,07_29_56
0.691,0.823,07_29_58
0.681,0.734,07_29_59
0.643,0.894,07_30_01
0.694,0.834,07_30_02
0.724,0.774,07_30_04
0.661,0.905,07_30_11
0.748,0.853,07_30_12
0.738,0.873,07_30_14
0.629,0.866,07_30_15
0.665,0.888,07_30_17
0.581,0.799,07_30_18
0.643,0.843,07_30_20
0.649,0.882,07_30_22
0.684,0.843,07_30_34
0.744,0.844,07_30_36
0.682,0.784,07_30_38
0.658,0.828,07_30_39
0.66,0.917,07_30_55
0.64,0.833,07_30_57
0.698,0.849,07_30_58
0.661,0.8,07_31_00
0.707,0.94,07_33_52
0.746,0.814,07_37_17
0.691,0.852,07_37_18
0.664,0.76,07_37_20
0.676,0.867,07_37_22
0.662,0.808,07_37_23
0.664,0.748,07_37_25
0.652,0.79,07_37_27
0.618,0.777,07_37_28
0.676,0.756,07_37_30
0.723,0.79,07_37_31
0.656,0.735,07_37_33
0.655,0.813,07_37_45
0.661,0.818,07_37_46
0.691,0.878,07_37_48
0.688,0.791,07_37_50
0.708,0.824,07_37_51
0.663,0.83,07_37_53
0.688,0.827,07_37_55
0.744,0.836,07_37_56
0.726,0.827,07_37_58
0.678,0.77,07_37_59
0.68,0.865,07_38_01
0.656,0.872,07_38_02
0.64,0.845,07_38_04
0.645,0.831,07_38_06
0.679,0.8,07_38_07
0.727,0.869,07_38_09
0.677,0.906,07_38_10
0.648,0.815,07_38_12
0.659,0.836,07_38_14
0.659,0.731,07_38_15
0.698,0.861,07_38_17
0.727,0.773,07_38_19
0.707,0.839,07_38_20
0.664,0.879,07_38_21
0.665,0.758,07_38_23
0.638,0.745,07_38_25
0.665,0.876,07_38_27
0.667,0.815,07_38_28
0.7,0.815,07_38_29
0.645,0.785,07_38_31
0.645,0.8,07_38_33
0.673,0.746,07_38_58
0.656,0.78,07_39_00
0.629,0.781,07_39_02
0.662,0.849,07_39_03
0.698,0.785,07_39_04
0.673,0.74,07_39_06
0.657,0.749,07_39_08
0.611,0.799,07_39_10
0.764,0.819,07_39_11
0.619,0.899,07_39_34
0.661,0.768,07_39_36
0.667,0.777,07_39_38
0.643,0.765,07_39_39
0.694,0.796,07_39_41
0.735,0.822,07_39_42
0.735,0.862,07_39_44
0.696,0.767,07_39_45
0.661,0.818,07_40_08
0.722,0.823,07_40_09
