khoảng cách trên,khoảng cách dưới
0.64,0.773,07_52_24
0.617,0.759,07_52_26
0.587,0.805,07_52_28
0.621,0.766,07_52_29
0.61,0.837,07_52_31
0.628,0.829,07_52_32
0.595,0.824,07_52_34
0.64,0.769,07_52_36
0.639,0.755,07_52_37
0.636,0.788,07_52_40
0.58,0.782,07_52_41
0.59,0.78,07_52_52
0.621,0.722,07_52_54
0.668,0.721,07_52_55
0.634,0.73,07_52_57
0.609,0.684,07_52_58
0.639,0.695,07_53_00
0.663,0.775,07_53_02
0.627,0.74,07_53_04
0.645,0.798,07_53_05
0.622,0.808,07_53_07
0.534,0.702,07_53_08
0.572,0.862,07_53_10
0.582,0.866,07_53_12
0.575,0.792,07_53_13
0.615,0.774,07_53_15
0.659,0.833,07_53_16
0.511,0.752,07_53_18
0.591,0.776,07_53_20
0.601,0.755,07_53_21
0.623,0.828,07_53_23
0.608,0.738,07_53_25
0.604,0.846,07_53_26
0.6,0.788,07_53_28
0.652,0.735,07_53_29
0.609,0.704,07_53_31
0.635,0.8,07_53_32
0.678,0.706,07_53_34
0.616,0.776,07_53_36
0.574,0.831,07_53_37
0.656,0.758,07_53_39
0.66,0.864,07_53_41
0.678,0.827,07_53_42
0.582,0.839,07_53_44
0.611,0.804,07_53_45
0.621,0.818,07_54_06
0.629,0.752,07_54_08
0.701,0.868,07_54_10
0.604,0.84,07_54_12
0.696,0.801,07_54_13
0.658,0.827,07_54_15
0.632,0.735,07_54_16
0.666,0.841,07_54_18
0.588,0.903,07_54_32
0.64,0.804,07_54_34
0.627,0.819,07_54_36
0.66,0.86,07_54_37
0.668,0.841,07_54_39
0.609,0.757,07_54_40
0.666,0.795,07_54_42
0.722,0.876,07_54_43
0.622,0.833,07_54_45
0.62,0.756,07_54_47
0.65,0.874,07_54_48
0.581,0.788,07_54_50
0.612,0.808,07_54_52
0.552,0.768,07_54_53
0.589,0.796,07_54_55
0.598,0.807,07_54_56
0.542,0.765,07_54_58
0.577,0.851,07_55_00
0.596,0.724,07_55_02
0.611,0.79,07_55_03
0.646,0.802,07_55_26
0.602,0.848,07_55_27
0.575,0.854,07_55_29
0.593,0.8,07_55_31
0.59,0.796,07_55_32
0.639,0.791,07_55_34
0.656,0.797,07_55_36
0.619,0.768,07_55_37
0.59,0.84,07_55_39
0.552,0.834,07_55_41
0.631,0.724,07_55_42
0.657,0.933,07_55_55
0.628,0.771,07_55_57
0.587,0.843,07_55_58
0.608,0.72,07_56_00
0.637,0.736,07_56_02
0.613,0.731,07_56_03
0.608,0.814,07_56_05
0.671,0.75,07_56_06
0.624,0.76,07_56_08
0.619,0.803,07_56_10
0.644,0.887,07_56_11
0.603,0.791,07_56_23
0.652,0.789,07_56_25
0.65,0.856,07_56_27
0.545,0.809,07_56_28
0.641,0.776,07_56_30
0.657,0.783,07_56_32
0.578,0.796,07_56_33
0.604,0.784,07_56_35
0.587,0.778,07_56_36
0.588,0.77,07_56_38
0.695,0.763,07_56_40
0.674,0.799,07_56_41
0.664,0.763,07_56_48
0.627,0.781,07_56_50
0.629,0.762,07_56_51
0.675,0.844,07_56_53
0.601,0.797,07_56_55
0.664,0.851,07_56_56
0.564,0.777,07_56_58
0.592,0.785,07_57_00
0.61,0.739,07_57_01
0.668,0.767,07_57_03
0.644,0.713,07_57_04
0.597,0.735,07_57_06
0.606,0.749,07_57_08
0.627,0.798,07_57_09
0.595,0.814,07_57_11
0.614,0.925,07_57_12
0.612,0.81,07_57_14
0.59,0.822,07_57_15
0.595,0.8,07_57_17
0.599,0.697,07_57_19
0.72,0.767,07_57_20
0.606,0.706,07_57_22
0.589,0.83,07_57_24
0.69,0.794,07_57_25
0.656,0.696,07_57_27
0.679,0.718,07_57_28
0.64,0.754,07_57_30
0.624,0.757,07_57_31
0.585,0.781,07_57_33
0.599,0.739,07_57_35
0.681,0.747,07_58_51
0.63,0.745,07_58_53
0.62,0.78,07_58_55
0.621,0.728,07_58_56
0.64,0.809,07_58_58
0.61,0.797,07_59_00
0.629,0.765,07_59_01
0.601,0.801,07_59_03
0.575,0.79,07_59_05
0.638,0.816,07_59_06
0.595,0.788,07_59_18
0.652,0.817,07_59_19
0.573,0.737,07_59_21
0.619,0.776,07_59_23
0.613,0.713,07_59_24
0.61,0.853,07_59_26
0.62,0.775,07_59_27
0.572,0.767,07_59_29
0.558,0.782,07_59_31
0.647,0.849,07_59_33
0.631,0.789,07_59_34
0.624,0.877,07_59_36
0.605,0.724,07_59_37
0.689,0.751,07_59_39
0.645,0.776,07_59_40
0.651,0.79,07_59_42
0.648,0.926,07_59_44
0.686,0.786,07_59_45
0.664,0.78,07_59_47
0.69,0.701,07_59_48
0.604,0.708,07_59_50
0.679,0.754,07_59_51
0.593,0.824,07_59_53
0.581,0.706,07_59_55
0.554,0.769,07_59_56
0.608,0.869,07_59_58
0.619,0.66,08_00_00
0.584,0.778,08_00_01
0.661,0.688,08_00_03
0.588,0.789,08_00_05
0.65,0.747,08_00_07
0.581,0.728,08_00_08
0.629,0.76,08_00_10
0.649,0.773,08_00_11
0.598,0.78,08_00_13
0.597,0.788,08_00_14
0.623,0.725,08_00_16
0.615,0.824,08_00_18
0.583,0.734,08_00_19
0.596,0.751,08_00_21
0.634,0.799,08_00_22
0.573,0.796,08_00_24
0.666,0.726,08_00_26
0.619,0.783,08_00_27
0.678,0.699,08_00_29
0.607,0.776,08_00_30
0.65,0.854,08_00_32
0.606,0.883,08_00_34
0.589,0.818,08_00_35
0.575,0.79,08_00_37
0.577,0.836,08_00_39
0.607,0.768,08_00_40
0.756,0.728,08_00_42
0.643,0.753,08_00_43
0.634,0.871,08_00_45
0.618,0.728,08_00_46
0.584,0.753,08_00_48
0.584,0.76,08_00_50
0.644,0.782,08_00_51
0.546,0.858,08_00_53
0.531,0.679,08_00_54
0.595,0.386,08_00_56
0.574,0.632,08_00_58
0.509,0.597,08_01_00
0.611,0.708,08_01_01
0.603,0.857,08_01_03
0.638,0.764,08_01_04
0.609,0.737,08_01_06
0.663,0.93,08_01_07
