khoảng cách trên,khoảng cách dưới
0.69,0.766,06_57_17
0.463,0.383,06_57_18
0,0.932,06_57_19
0,0,06_57_21
0.52,0,06_57_22
0.529,0.802,06_57_24
0.579,0.846,06_57_25
0.577,0.658,06_57_27
0.554,0.65,06_57_30
0.712,0.748,06_57_33
0.663,0.802,06_57_36
0.723,0.878,06_57_39
0,0,06_57_42
0,0.83,06_57_44
0.627,0,06_57_47
0.559,0.737,07_00_29
0,0,07_00_31
0.704,0.916,07_00_33
0,0,07_00_35
0.409,0.485,07_00_37
0.651,0.77,07_00_38
0.58,0.808,07_14_13
0.669,0,07_14_14
0.609,0.825,07_14_15
0.651,0.738,07_14_17
0.67,0.79,07_14_18
0.722,0.771,07_14_20
0.745,0.663,07_14_22
0.674,0.87,07_14_23
0.705,0.746,07_14_25
0.661,0.85,07_14_26
0.659,0.776,07_14_28
0.655,0.772,07_18_13
0.627,0.737,07_18_14
0.683,0.753,07_18_16
0.621,0.822,07_18_18
0.701,0.816,07_18_19
0.689,0.776,07_18_21
0.709,0.741,07_18_27
0.633,0.738,07_18_28
0.634,0.799,07_32_53
0.713,0.75,07_32_55
0.627,0.748,07_32_57
0.581,0.81,07_32_58
0.656,0.866,07_33_00
0.713,0.809,07_33_01
0.69,0.791,07_33_03
0.67,0,07_33_05
0.7,0.751,07_33_06
0.669,0.8,07_33_08
0.641,0.776,07_33_09
0.667,0.696,07_33_11
0.657,0.741,07_33_12
0.585,0.695,07_33_14
0.622,0.718,07_33_16
0.734,0.748,07_33_18
0.683,0.787,07_33_19
0.696,0.748,07_33_21
0.716,0.738,07_33_22
0.581,0.744,07_33_24
0.656,0.764,07_33_26
0.686,0.68,07_33_27
0.644,0.749,07_33_40
0.629,0.727,07_33_42
0.646,0.758,07_35_16
0.67,0.791,07_35_18
0.727,0.7,07_35_19
0.71,0.741,07_35_21
0.642,0.718,07_35_23
0.738,0.723,07_35_24
0.714,0.684,07_35_26
0.691,0.741,07_35_27
0.615,0.765,07_35_29
0.657,0.731,07_35_31
0.602,0.785,07_35_32
0.69,0.759,07_35_34
0.668,0.782,07_35_36
0.641,0.669,07_35_37
0.653,0.8,07_35_39
0.611,0.74,07_35_41
0.621,0.726,07_35_42
0.684,0.744,07_35_44
0.667,0.721,07_35_46
0.677,0.727,07_35_47
0.608,0.718,07_35_49
0.657,0.829,07_35_51
0.731,0.774,07_35_52
0.747,0.773,07_35_54
0.681,0.728,07_35_55
0.695,0.71,07_35_57
0.608,0.756,07_35_59
0.612,0.805,07_36_01
0.696,0.738,07_36_02
0.613,0.78,07_36_04
0.709,0.784,07_36_05
0.684,0.741,07_36_07
0.637,0.741,07_36_09
0.629,0.83,07_36_10
0.59,0.76,07_36_12
0.655,0.749,07_36_14
0.659,0.676,07_36_15
0.673,0.819,07_36_17
0.714,0.751,07_36_18
0.661,0.744,07_36_20
0.675,0.83,07_36_22
0.698,0.753,07_36_23
0.752,0.722,07_36_25
0.681,0.696,07_36_26
0.649,0.762,07_36_28
0.688,0.743,07_36_30
0.593,0.719,07_36_31
0.702,0.802,07_36_33
0.665,0.741,07_36_35
0.556,0.763,07_36_36
0.621,0.764,07_36_38
0.599,0.736,07_36_39
0.713,0.749,07_36_41
0.687,0.693,07_36_43
0.62,0.783,07_36_44
0.598,0.774,07_36_46
0.707,0.655,07_36_47
0.658,0.779,07_36_49
0.702,0.736,07_36_50
0.645,0.699,07_36_52
0.667,0.749,07_36_54
0.646,0.796,07_36_55
0.68,0.748,07_36_57
0.693,0.754,07_36_58
0.649,0.813,07_37_00
0.659,0.805,07_37_02
0.67,0.77,07_37_03
0.665,0.739,07_37_05
0.673,0.727,07_37_06
0.671,0.717,07_37_08
0.635,0.768,07_37_30
0.671,0.713,07_37_32
0.663,0.788,07_37_33
0.697,0.735,07_37_35
0.703,0.772,07_37_37
0.658,0.731,07_37_38
0.644,0.764,07_37_40
0.666,0.777,07_37_42
0.623,0.798,07_37_43
0.652,0.713,07_37_45
0.681,0.752,07_37_46
0.715,0.781,07_37_48
0.649,0.776,07_37_50
0.701,0.779,07_37_51
0.653,0.706,07_38_05
0.656,0.774,07_38_07
0.586,0.797,07_38_08
0.657,0.782,07_38_10
0.69,0.686,07_38_12
0.71,0.699,07_38_13
0.643,0.817,07_38_15
0.657,0.788,07_38_16
0.623,0.761,07_38_18
0.739,0.738,07_38_20
0.689,0.743,07_38_30
0.675,0.787,07_38_32
0.658,0.774,07_38_34
0.625,0.769,07_38_35
0.664,0.783,07_38_37
0.642,0.813,07_38_38
0.681,0.817,07_38_40
0.612,0.762,07_38_41
0.709,0.778,07_38_43
0.596,0.861,07_38_45
0.576,0.814,07_38_46
0.652,0.826,07_38_48
0.658,0.78,07_38_50
0.625,0.769,07_38_51
0.6,0.801,07_38_53
0.622,0.779,07_38_55
0.619,0.775,07_38_56
0.668,0.77,07_38_58
0.699,0.743,07_39_00
0.677,0.739,07_39_01
0.637,0.729,07_39_03
0.706,0.781,07_39_05
0.758,0.676,07_39_06
0.659,0.741,07_39_08
0.601,0.759,07_39_09
0.61,0.723,07_39_11
0.734,0.737,07_40_29
0.646,0.795,07_40_30
0.633,0.848,07_40_32
0.61,0.757,07_40_34
0.594,0.74,07_40_35
0.659,0.796,07_40_37
0.658,0.772,07_40_39
0.618,0.779,07_40_40
0.644,0.783,07_41_58
0.642,0.773,07_42_00
0.682,0.7,07_42_01
0.623,0.792,07_42_03
0.688,0.762,07_42_05
0.641,0.706,07_42_06
0.661,0.823,07_42_08
0.728,0.73,07_42_10
0.678,0.823,07_42_27
0.738,0.73,07_42_29
0.608,0.778,07_42_30
0.648,0.743,07_42_32
0.664,0.75,07_42_33
0.634,0.717,07_42_35
0.659,0.687,07_42_37
0.681,0.736,07_42_38
0.704,0.742,07_42_40
0.629,0.745,07_42_41
0.701,0.696,07_42_43
0.626,0.741,07_43_35
0.67,0.772,07_43_36
0.733,0.773,07_43_38
0.662,0.781,07_43_40
0.657,0.802,07_43_41
0.674,0.713,07_43_43
0.681,0.794,07_43_44
0.699,0.756,07_43_46
0.635,0.746,07_43_47
0.671,0.75,07_43_49
0.648,0.827,07_43_50
0.668,0.747,07_43_52
0.66,0.801,07_44_09
0.667,0.735,07_44_11
0.684,0.759,07_44_13
0.596,0.809,07_44_14
0.742,0.715,07_44_16
0.706,0.719,07_44_18
0.66,0.722,07_44_19
0.707,0.658,07_44_21
0.652,0.759,07_44_22
0.614,0.818,07_44_24
0.666,0.8,07_44_26
0.643,0.788,07_44_27
0.668,0.736,07_44_29
0.682,0.764,07_44_30
0.616,0.739,07_44_32
0.706,0.732,07_44_34
0.674,0.793,07_44_35
0.663,0.771,07_44_37
0.698,0.746,07_44_38
0.704,0.69,07_44_40
0.688,0.781,07_44_42
0.63,0.802,07_44_43
0.664,0.75,07_44_45
0.675,0.735,07_44_47
0.671,0.796,07_44_59
0.652,0.788,07_45_01
0.637,0.714,07_45_02
0.648,0.807,07_45_04
0.648,0.75,07_45_06
0.684,0.777,07_45_08
0.657,0.849,07_45_09
0.716,0.736,07_45_11
0.744,0.737,07_45_12
0.645,0.789,07_45_14
0.643,0.814,07_45_33
0.69,0.801,07_45_35
0.66,0.78,07_45_36
0.655,0.836,07_45_38
0.698,0.736,07_45_40
0.604,0.82,07_45_41
0.671,0.8,07_45_43
0.719,0.809,07_45_45
0.708,0.748,07_45_46
0.692,0.777,07_45_48
0.646,0.742,07_45_49
0.621,0.8,07_46_36
0.691,0.76,07_46_37
0.608,0.757,07_46_39
0.66,0.781,07_46_40
0.602,0.765,07_46_42
0.738,0.737,07_46_44
0.667,0.799,07_46_46
0.642,0.774,07_46_47
0.579,0.779,07_46_49
0.688,0.755,07_46_50
0.587,0.705,07_46_52
0.641,0.765,07_46_54
0.717,0.787,07_46_56
0.701,0.756,07_46_57
0.641,0.769,07_46_59
0.644,0.804,07_47_18
0.686,0.791,07_47_19
0.722,0.733,07_47_21
0.744,0.735,07_47_23
0.662,0.728,07_47_25
0.692,0.753,07_47_26
0.655,0.746,07_47_28
0.635,0.759,07_47_29
0.644,0.72,07_47_31
0.682,0.819,07_47_33
0.665,0.779,07_47_34
0.715,0.776,07_47_36
0.682,0.754,07_47_44
0.709,0.767,07_47_46
0.704,0.683,07_47_47
0.689,0.774,07_47_49
0.624,0.763,07_47_51
0.602,0.815,07_47_52
0.659,0.73,07_47_54
0.603,0.77,07_47_55
0.652,0.772,07_47_57
0.653,0.766,07_47_59
0.661,0.733,07_48_00
0.628,0.774,07_48_02
