khoảng cách trên,khoảng cách dưới
0.67,0,06_55_54
0.468,0.521,06_56_35
0.889,1.058,06_56_49
0,0,06_56_54
0,0.696,06_56_59
0.537,0.769,06_57_01
0.575,0.903,06_57_02
0.551,0.663,06_57_04
0.557,0.692,06_57_07
0.703,0.732,06_57_10
0.653,0.822,06_57_12
0.71,0.861,06_57_15
0,0,06_57_18
0.71,0,06_57_21
0.635,0,06_57_24
0.549,0.734,06_57_46
0,0,06_57_49
0.73,0.88,06_57_51
0.633,0.719,06_57_52
0.407,0.484,06_57_54
0.64,0.783,06_57_55
0.622,0.829,07_07_01
0.382,0.609,07_07_03
0.842,1.111,07_07_04
0,0,07_08_45
0.546,0,07_08_53
0.617,0.68,07_08_55
0.731,0.714,07_08_56
0.533,0.692,07_08_58
0.553,0.702,07_09_01
0.575,0.881,07_09_04
0.653,0.825,07_09_37
0.686,0.9,07_09_40
0,0,07_09_43
0,0.904,07_09_46
0,0.781,07_09_49
0.578,0.712,07_09_58
0,0,07_10_01
0.717,0.901,07_10_02
0.601,0.763,07_10_04
0.37,0.523,07_10_05
0,0,07_10_06
0.685,0,07_10_58
0.471,0.518,07_11_45
0.892,1.056,07_11_50
0,0,07_11_56
0,0.693,07_12_02
0.545,0.764,07_12_03
0.575,0.904,07_12_05
0.555,0.66,07_12_06
0.558,0.687,07_12_09
0.702,0.733,07_12_12
0.654,0.821,07_12_15
0.716,0.852,07_12_18
0,0,07_12_21
0.712,0,07_12_24
0.633,0,07_12_27
0.55,0.737,07_12_32
0,0,07_12_35
0.73,0.881,07_12_37
0.637,0.723,07_12_38
0.406,0.48,07_12_39
0.669,0.756,07_12_41
0.717,0.8,07_13_58
0.384,0.607,07_13_59
0.839,1.114,07_14_01
0,0,07_14_02
0.536,0,07_14_03
0.612,0.679,07_14_05
0.726,0.719,07_14_06
0.531,0.695,07_14_08
0.551,0.704,07_14_11
0.577,0.877,07_14_14
0.652,0.825,07_14_23
0.684,0.905,07_14_25
0,0,07_14_28
0,0.901,07_14_31
0,0.781,07_14_34
0.583,0.704,07_14_53
0,0,07_14_56
0.719,0.901,07_14_57
0.603,0.764,07_14_59
0.362,0.533,07_15_00
0,0,07_15_01
0.635,0.885,07_15_34
0.462,0.523,07_15_36
0.898,1.052,07_15_42
0,0,07_15_43
0,0.693,07_15_45
0.546,0.762,07_15_46
0.577,0.903,07_15_47
0.559,0.658,07_15_49
0.56,0.688,07_15_52
0.7,0.736,07_15_55
0.654,0.819,07_15_58
0.717,0.856,07_16_01
0,0,07_16_03
0.701,0,07_16_06
0.634,0,07_16_09
0.546,0.742,07_16_14
0,0,07_16_17
0.731,0.884,07_16_19
0.635,0.717,07_16_20
0.41,0.49,07_16_21
0.664,0.755,07_16_23
0.72,0.793,07_17_02
0.382,0.612,07_17_04
0.84,1.111,07_17_05
0,0,07_17_06
